ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
159240.SZ,20260515,1.382,1.382,1.389,1.357,1.365,-0.017,-1.2301,8105.0,1108.478
159240.SZ,20260514,1.411,1.413,1.421,1.382,1.382,-0.029,-2.0553,5143.0,716.91
159240.SZ,20260513,1.391,1.386,1.411,1.381,1.411,0.02,1.4378,4976.03,694.703
159240.SZ,20260512,1.394,1.39,1.397,1.386,1.391,-0.003,-0.2152,3854.0,535.777
159240.SZ,20260511,1.373,1.497,1.497,1.361,1.394,0.021,1.5295,2164.0,306.024
159240.SZ,20260508,1.375,1.375,1.375,1.362,1.373,-0.002,-0.1455,3608.0,494.341
159240.SZ,20260507,1.359,1.366,1.375,1.36,1.375,0.016,1.1773,5022.0,686.978
159240.SZ,20260506,1.335,1.335,1.361,1.335,1.359,0.024,1.7978,2237.0,302.652
159240.SZ,20260430,1.345,1.34,1.342,1.335,1.335,-0.01,-0.7435,4344.0,580.997
159240.SZ,20260429,1.322,1.324,1.345,1.322,1.345,0.023,1.7398,7516.0,1001.601
159240.SZ,20260428,1.33,1.325,1.33,1.321,1.322,-0.008,-0.6015,6582.0,871.962
159240.SZ,20260427,1.331,1.326,1.336,1.326,1.33,-0.001,-0.0751,3888.0,518.281
159240.SZ,20260424,1.334,1.327,1.335,1.321,1.331,-0.003,-0.2249,11795.0,1565.003
159240.SZ,20260423,1.339,1.344,1.347,1.327,1.334,-0.005,-0.3734,19905.0,2658.402
159240.SZ,20260422,1.332,1.326,1.339,1.325,1.339,0.007,0.5255,22647.0,3021.546
159240.SZ,20260421,1.325,1.421,1.428,1.312,1.332,0.007,0.5283,51717.0,6888.546
159240.SZ,20260420,1.311,1.311,1.328,1.311,1.325,0.014,1.0679,3346.0,442.886
159240.SZ,20260417,1.313,1.313,1.314,1.309,1.311,-0.002,-0.1523,5409.0,709.423
159240.SZ,20260416,1.298,1.301,1.314,1.301,1.313,0.015,1.1556,5861.0,766.838
159240.SZ,20260415,1.284,1.292,1.305,1.292,1.298,0.014,1.0903,10836.0,1407.478
159240.SZ,20260413,1.28,1.268,1.292,1.164,1.284,0.004,0.3125,8419.0,1078.943
159240.SZ,20260410,1.265,1.277,1.285,1.277,1.28,0.015,1.1858,10864.0,1392.052
159240.SZ,20260409,1.27,1.264,1.269,1.258,1.265,-0.005,-0.3937,4486.0,567.273
159240.SZ,20260408,1.223,1.229,1.27,1.229,1.27,0.047,3.843,5437.0,684.678
159240.SZ,20260407,1.222,1.227,1.228,1.22,1.223,0.001,0.0818,6452.0,789.586
159240.SZ,20260403,1.233,1.233,1.234,1.221,1.222,-0.011,-0.8921,1999.0,245.217
159240.SZ,20260402,1.252,1.244,1.244,1.23,1.233,-0.019,-1.5176,3976.0,490.539
159240.SZ,20260401,1.23,1.24,1.253,1.24,1.252,0.022,1.7886,1240.0,155.118
159240.SZ,20260331,1.244,1.244,1.251,1.23,1.23,-0.014,-1.1254,5063.0,628.319
159240.SZ,20260330,1.247,1.235,1.244,1.226,1.244,-0.003,-0.2406,5303.0,655.923
159240.SZ,20260327,1.236,1.241,1.25,1.225,1.247,0.011,0.89,10760.0,1326.926
159240.SZ,20260326,1.25,1.25,1.253,1.231,1.236,-0.014,-1.12,6377.0,790.482
159240.SZ,20260325,1.227,1.231,1.253,1.229,1.25,0.023,1.8745,15984.0,1997.798
159240.SZ,20260324,1.21,1.28,1.298,1.203,1.227,0.017,1.405,6413.0,779.02
159240.SZ,20260323,1.257,1.259,1.272,1.208,1.21,-0.047,-3.7391,8750.0,1070.431
