ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300591.SZ,20250102,4.12,4.31,4.04,4.08,4.11,-0.03,-0.7299,208894.45,86965.75
300591.SZ,20250103,4.12,4.18,3.74,3.76,4.08,-0.32,-7.8431,191580.85,74529.384
300591.SZ,20250106,3.76,3.85,3.56,3.79,3.76,0.03,0.7979,145738.29,54568.946
300591.SZ,20250107,3.85,3.94,3.8,3.93,3.79,0.14,3.6939,128135.25,49687.854
300591.SZ,20250108,3.89,3.98,3.73,3.94,3.93,0.01,0.2545,171024.08,66235.852
300591.SZ,20250109,3.92,3.99,3.87,3.91,3.94,-0.03,-0.7614,106046.0,41849.57
300591.SZ,20250110,3.89,3.96,3.72,3.75,3.91,-0.16,-4.0921,96741.7,37068.572
300591.SZ,20250113,3.69,3.83,3.6,3.79,3.75,0.04,1.0667,114906.0,42547.078
300591.SZ,20250114,3.85,4.01,3.83,4.01,3.79,0.22,5.8047,154582.0,60818.693
300591.SZ,20250115,4.03,4.06,3.93,4.01,4.01,0.0,0.0,103006.4,41150.075
300591.SZ,20250116,4.06,4.25,4.04,4.11,4.01,0.1,2.4938,224603.1,93015.997
300591.SZ,20250117,4.11,4.11,3.92,3.97,4.11,-0.14,-3.4063,145494.2,57902.736
300591.SZ,20250120,4.02,4.08,3.88,3.97,3.97,0.0,0.0,155820.0,61961.252
300591.SZ,20250121,4.0,4.01,3.76,3.79,3.97,-0.18,-4.534,158531.0,60778.565
300591.SZ,20250122,3.79,3.8,3.66,3.69,3.79,-0.1,-2.6385,112197.31,41575.832
300591.SZ,20250123,3.79,3.95,3.77,3.8,3.69,0.11,2.981,201632.0,77878.847
300591.SZ,20250124,3.81,3.87,3.76,3.81,3.8,0.01,0.2632,168780.95,64287.908
300591.SZ,20250127,3.86,3.93,3.8,3.82,3.81,0.01,0.2625,159063.5,61434.729
300591.SZ,20250205,3.83,3.98,3.78,3.92,3.82,0.1,2.6178,147005.0,57299.136
300591.SZ,20250206,3.95,4.06,3.87,4.06,3.92,0.14,3.5714,150205.11,59806.851
300591.SZ,20250207,4.07,4.21,4.06,4.16,4.06,0.1,2.4631,175812.4,72937.514
300591.SZ,20250210,4.22,4.31,4.18,4.3,4.16,0.14,3.3654,121764.3,51703.847
300591.SZ,20250211,4.29,4.34,4.16,4.29,4.3,-0.01,-0.2326,165007.19,69957.494
300591.SZ,20250212,4.29,4.34,4.22,4.26,4.29,-0.03,-0.6993,144310.29,61655.115
300591.SZ,20250213,4.25,4.3,4.17,4.19,4.26,-0.07,-1.6432,125419.5,52835.142
300591.SZ,20250214,4.18,4.22,4.14,4.17,4.19,-0.02,-0.4773,85714.0,35777.374
300591.SZ,20250217,4.17,4.29,4.16,4.27,4.17,0.1,2.3981,123476.61,52325.28
300591.SZ,20250218,4.32,4.35,4.09,4.11,4.27,-0.16,-3.7471,141813.81,59591.11
300591.SZ,20250219,4.1,4.28,4.1,4.22,4.11,0.11,2.6764,123120.5,51808.68
300591.SZ,20250220,4.28,4.39,4.22,4.32,4.22,0.1,2.3697,185945.0,79702.56
300591.SZ,20250221,4.29,4.35,4.19,4.26,4.32,-0.06,-1.3889,159776.6,67720.278
300591.SZ,20250224,4.24,4.33,4.19,4.29,4.26,0.03,0.7042,158802.82,67736.961
300591.SZ,20250225,4.27,4.37,4.22,4.27,4.29,-0.02,-0.4662,128182.5,55080.353
300591.SZ,20250226,4.3,4.34,4.26,4.33,4.27,0.06,1.4052,108300.3,46654.686
300591.SZ,20250227,4.37,4.45,4.25,4.37,4.33,0.04,0.9238,152006.08,65816.982
300591.SZ,20250228,4.37,4.65,4.32,4.45,4.37,0.08,1.8307,404737.89,180681.817
300591.SZ,20250303,4.55,4.73,4.4,4.47,4.45,0.02,0.4494,322010.89,145432.954
300591.SZ,20250304,4.4,4.98,4.38,4.8,4.47,0.33,7.3826,470045.5,222414.121
300591.SZ,20250305,4.72,5.35,4.62,5.2,4.8,0.4,8.3333,630388.11,316096.602
300591.SZ,20250306,5.19,5.28,5.03,5.08,5.2,-0.12,-2.3077,459488.39,234865.347
300591.SZ,20250307,5.09,5.23,4.93,4.93,5.08,-0.15,-2.9528,321343.1,162381.19
300591.SZ,20250310,4.92,4.97,4.8,4.82,4.93,-0.11,-2.2312,223294.76,108378.573
300591.SZ,20250311,4.76,4.92,4.75,4.86,4.82,0.04,0.8299,175692.88,85030.37
300591.SZ,20250312,4.84,4.89,4.77,4.78,4.86,-0.08,-1.6461,183645.3,88299.193
300591.SZ,20250313,4.77,4.78,4.59,4.69,4.78,-0.09,-1.8828,195709.46,91245.688
300591.SZ,20250314,4.69,4.74,4.61,4.74,4.69,0.05,1.0661,127328.5,59735.237
300591.SZ,20250317,4.73,4.78,4.7,4.74,4.74,0.0,0.0,129972.0,61658.7
300591.SZ,20250318,4.76,4.78,4.69,4.74,4.74,0.0,0.0,119529.9,56501.684
300591.SZ,20250319,4.71,4.98,4.68,4.8,4.74,0.06,1.2658,254866.7,123359.078
300591.SZ,20250320,4.87,4.9,4.75,4.77,4.8,-0.03,-0.625,202687.3,97968.126
300591.SZ,20250321,4.84,5.29,4.83,5.2,4.77,0.43,9.0147,508755.39,256468.024
300591.SZ,20250324,5.06,5.1,4.65,4.79,5.2,-0.41,-7.8846,429935.69,210669.49
300591.SZ,20250325,4.77,4.88,4.6,4.61,4.79,-0.18,-3.7578,222503.98,104800.004
300591.SZ,20250326,4.56,4.75,4.54,4.66,4.61,0.05,1.0846,158820.83,74317.62
300591.SZ,20250327,4.66,5.15,4.53,4.98,4.66,0.32,6.867,494988.44,242632.619
300591.SZ,20250328,5.02,5.08,4.82,4.82,4.98,-0.16,-3.2129,273311.3,134183.669
300591.SZ,20250331,4.8,5.08,4.68,4.87,4.82,0.05,1.0373,291796.19,141976.793
300591.SZ,20250401,4.85,4.92,4.76,4.76,4.87,-0.11,-2.2587,205239.6,99518.8
300591.SZ,20250402,4.78,4.82,4.68,4.71,4.76,-0.05,-1.0504,137772.0,65291.435
