ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
561560.SH,20260515,1.422,1.408,1.43,1.386,1.412,-0.01,-0.7032,1422787.03,199817.368
561560.SH,20260514,1.459,1.461,1.489,1.421,1.422,-0.037,-2.536,1991664.0,289346.787
561560.SH,20260513,1.427,1.426,1.468,1.425,1.459,0.032,2.2425,1162468.98,168953.482
561560.SH,20260512,1.412,1.42,1.436,1.399,1.427,0.015,1.0623,1377700.07,196229.725
561560.SH,20260511,1.394,1.394,1.42,1.394,1.412,0.018,1.2912,548973.0,77435.048
561560.SH,20260508,1.393,1.393,1.417,1.386,1.394,0.001,0.0718,586719.0,82175.449
561560.SH,20260507,1.374,1.38,1.397,1.378,1.393,0.019,1.3828,607464.0,84280.612
561560.SH,20260506,1.346,1.347,1.376,1.347,1.374,0.028,2.0802,713559.0,97178.375
561560.SH,20260430,1.364,1.36,1.36,1.339,1.346,-0.018,-1.3196,713809.0,96049.236
561560.SH,20260429,1.36,1.352,1.371,1.348,1.364,0.004,0.2941,527723.0,71922.794
561560.SH,20260428,1.354,1.35,1.366,1.339,1.36,0.006,0.4431,541542.0,73180.293
561560.SH,20260427,1.36,1.355,1.364,1.339,1.354,-0.006,-0.4412,716750.0,97067.064
561560.SH,20260424,1.382,1.381,1.381,1.358,1.36,-0.022,-1.5919,842450.0,115202.222
561560.SH,20260423,1.361,1.36,1.387,1.348,1.382,0.021,1.543,919706.0,126057.876
561560.SH,20260422,1.359,1.36,1.367,1.352,1.361,0.002,0.1472,907194.0,123564.959
561560.SH,20260421,1.345,1.345,1.368,1.334,1.359,0.014,1.0409,1025082.0,138350.994
561560.SH,20260420,1.329,1.331,1.345,1.328,1.345,0.016,1.2039,555750.95,74373.727
561560.SH,20260417,1.331,1.331,1.341,1.325,1.329,-0.002,-0.1503,512738.0,68323.092
561560.SH,20260416,1.327,1.332,1.334,1.318,1.331,0.004,0.3014,563319.0,74783.397
561560.SH,20260415,1.32,1.321,1.33,1.31,1.327,0.007,0.5303,775776.0,102453.867
561560.SH,20260414,1.317,1.319,1.329,1.31,1.32,0.003,0.2278,769622.0,101409.107
561560.SH,20260413,1.307,1.306,1.318,1.299,1.317,0.01,0.7651,526682.0,68892.533
561560.SH,20260410,1.306,1.308,1.312,1.301,1.307,0.001,0.0766,722088.0,94398.918
