ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601778.SH,20250102,2.83,2.84,2.72,2.76,2.82,-0.06,-2.1277,448192.0,125070.007
601778.SH,20250103,2.76,2.77,2.68,2.69,2.76,-0.07,-2.5362,411293.0,112182.063
601778.SH,20250106,2.71,2.75,2.68,2.72,2.69,0.03,1.1152,343076.0,93239.633
601778.SH,20250107,2.72,2.73,2.68,2.72,2.72,0.0,0.0,265609.0,71990.036
601778.SH,20250108,2.72,2.73,2.64,2.71,2.72,-0.01,-0.3676,379966.0,102108.575
601778.SH,20250109,2.7,2.72,2.67,2.7,2.71,-0.01,-0.369,259295.0,70020.06
601778.SH,20250110,2.7,2.7,2.62,2.62,2.7,-0.08,-2.963,286332.83,76037.093
601778.SH,20250113,2.6,2.64,2.58,2.63,2.62,0.01,0.3817,248657.0,64927.241
601778.SH,20250114,2.63,2.74,2.63,2.73,2.63,0.1,3.8023,382377.0,102720.312
601778.SH,20250115,2.73,2.73,2.66,2.7,2.73,-0.03,-1.0989,349426.0,94005.603
601778.SH,20250116,2.7,2.76,2.69,2.71,2.7,0.01,0.3704,372830.0,101711.53
601778.SH,20250117,2.7,2.72,2.68,2.69,2.71,-0.02,-0.738,239995.0,64754.234
601778.SH,20250120,2.71,2.73,2.67,2.69,2.69,0.0,0.0,263493.0,71075.055
601778.SH,20250121,2.7,2.71,2.64,2.65,2.69,-0.04,-1.487,283124.0,75375.665
601778.SH,20250122,2.66,2.66,2.6,2.61,2.65,-0.04,-1.5094,284683.83,74768.493
601778.SH,20250123,2.63,2.69,2.6,2.6,2.61,-0.01,-0.3831,371330.0,98201.625
601778.SH,20250124,2.61,2.64,2.58,2.63,2.6,0.03,1.1538,354426.95,92778.003
601778.SH,20250127,2.64,2.7,2.64,2.64,2.63,0.01,0.3802,320529.0,85454.437
601778.SH,20250205,2.67,2.7,2.65,2.67,2.64,0.03,1.1364,301239.9,80518.134
601778.SH,20250206,2.67,2.72,2.64,2.72,2.67,0.05,1.8727,344691.95,92675.789
601778.SH,20250207,2.72,2.81,2.71,2.78,2.72,0.06,2.2059,659249.0,182476.832
601778.SH,20250210,2.8,2.83,2.77,2.79,2.78,0.01,0.3597,460215.0,128532.921
