ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
920021.BJ,20250102,5.35,5.48,5.09,5.3,5.36,-0.06,-1.1194,114337.2,60960.119
920021.BJ,20250103,5.4,5.45,5.25,5.37,5.3,0.07,1.3208,120700.97,64630.022
920021.BJ,20250106,5.31,5.46,5.22,5.45,5.37,0.08,1.4898,104365.44,56263.196
920021.BJ,20250107,5.43,5.83,5.42,5.79,5.45,0.34,6.2385,174512.75,97508.384
920021.BJ,20250108,5.73,5.79,5.53,5.77,5.79,-0.02,-0.3454,165910.72,94152.763
920021.BJ,20250109,5.75,5.95,5.69,5.78,5.77,0.01,0.1733,177583.44,103752.414
920021.BJ,20250110,5.79,5.83,5.31,5.33,5.78,-0.45,-7.7855,147861.21,82508.528
920021.BJ,20250113,5.2,5.26,5.06,5.1,5.33,-0.23,-4.3152,102291.5,52640.032
920021.BJ,20250114,5.19,5.9,5.16,5.85,5.1,0.75,14.7059,272463.96,151518.188
920021.BJ,20250115,5.92,6.87,5.92,6.18,5.85,0.33,5.641,442054.99,284661.973
920021.BJ,20250116,6.01,6.5,5.96,6.08,6.18,-0.1,-1.6181,302761.83,187231.369
920021.BJ,20250117,6.04,6.18,5.9,5.92,6.08,-0.16,-2.6316,161572.38,96503.882
920021.BJ,20250120,6.01,6.22,5.95,5.98,5.92,0.06,1.0135,166559.28,101196.708
920021.BJ,20250121,5.98,6.07,5.81,5.91,5.98,-0.07,-1.1706,126425.87,74845.071
920021.BJ,20250122,5.91,5.92,5.6,5.63,5.91,-0.28,-4.7377,116672.33,66460.076
920021.BJ,20250123,5.75,5.95,5.68,5.68,5.63,0.05,0.8881,146489.95,85108.792
920021.BJ,20250124,5.66,5.79,5.61,5.78,5.68,0.1,1.7606,114284.31,65457.411
920021.BJ,20250127,5.87,5.95,5.51,5.51,5.78,-0.27,-4.6713,112855.85,64877.79
920021.BJ,20250205,5.67,5.71,5.53,5.59,5.51,0.08,1.4519,101964.88,57271.942
920021.BJ,20250206,5.58,6.17,5.5,6.1,5.59,0.51,9.1234,242527.53,142333.889
920021.BJ,20250207,6.03,6.58,5.99,6.35,6.1,0.25,4.0984,372206.28,233861.073
920021.BJ,20250210,6.45,6.69,6.35,6.67,6.35,0.32,5.0394,337518.72,220456.816
920021.BJ,20250211,6.69,8.66,6.53,8.2,6.67,1.53,22.9385,774323.07,580491.664
920021.BJ,20250212,7.66,8.17,7.45,7.61,8.2,-0.59,-7.1951,574430.54,445942.377
920021.BJ,20250213,7.69,8.57,7.49,7.84,7.61,0.23,3.0223,603472.73,479828.195
920021.BJ,20250214,7.5,7.76,7.24,7.48,7.84,-0.36,-4.5918,395999.35,297427.796
920021.BJ,20250217,8.25,8.29,7.5,7.61,7.48,0.13,1.738,401832.06,316164.751
920021.BJ,20250218,7.45,7.78,7.11,7.16,7.61,-0.45,-5.9133,291522.74,215982.522
920021.BJ,20250219,7.13,7.45,7.13,7.4,7.16,0.24,3.352,235507.28,171985.321
920021.BJ,20250220,7.3,7.56,7.25,7.38,7.4,-0.02,-0.2703,240620.36,177985.778
920021.BJ,20250221,7.57,7.76,7.26,7.69,7.38,0.31,4.2005,315833.9,238508.33
920021.BJ,20250224,7.83,7.99,7.41,7.55,7.69,-0.14,-1.8205,278009.16,214582.454
920021.BJ,20250225,7.3,7.5,7.17,7.25,7.55,-0.3,-3.9735,197250.59,144393.366
920021.BJ,20250226,7.45,7.45,7.15,7.2,7.25,-0.05,-0.6897,165243.02,120114.5
920021.BJ,20250227,7.2,7.37,7.0,7.35,7.2,0.15,2.0833,219702.2,157731.832
920021.BJ,20250228,7.25,7.4,6.86,6.89,7.35,-0.46,-6.2585,190256.85,135535.945
920021.BJ,20250303,6.9,7.21,6.8,7.07,6.89,0.18,2.6125,160787.87,112849.321
920021.BJ,20250304,7.08,7.52,7.0,7.51,7.07,0.44,6.2235,265280.38,194084.089
920021.BJ,20250305,7.63,7.78,7.36,7.61,7.51,0.1,1.3316,295337.91,223882.341
920021.BJ,20250306,7.6,7.89,7.38,7.67,7.61,0.06,0.7884,366115.86,280149.371
920021.BJ,20250307,7.61,8.12,7.55,7.72,7.67,0.05,0.6519,358875.67,281652.085
920021.BJ,20250310,7.63,7.77,7.41,7.67,7.72,-0.05,-0.6477,180000.19,137296.169
920021.BJ,20250311,7.43,8.1,7.42,7.87,7.67,0.2,2.6076,313148.46,244818.863
920021.BJ,20250312,8.12,8.57,7.96,8.22,7.87,0.35,4.4473,466246.8,386637.626
920021.BJ,20250313,8.0,8.22,7.5,7.73,8.22,-0.49,-5.9611,375979.33,293729.155
920021.BJ,20250314,7.68,8.41,7.55,8.15,7.73,0.42,5.4334,400783.26,322616.459
920021.BJ,20250317,8.05,8.36,8.0,8.28,8.15,0.13,1.5951,344513.76,282254.419
920021.BJ,20250318,8.34,8.34,7.99,8.07,8.28,-0.21,-2.5362,263434.96,213613.549
920021.BJ,20250319,7.94,7.95,7.5,7.56,8.07,-0.51,-6.3197,249099.16,192498.369
920021.BJ,20250320,7.56,7.63,7.11,7.13,7.56,-0.43,-5.6878,219131.53,161576.068
920021.BJ,20250321,7.05,7.19,6.78,6.88,7.13,-0.25,-3.5063,165717.5,115305.662
920021.BJ,20250324,6.93,7.11,6.67,7.0,6.88,0.12,1.7442,158637.23,108982.045
