代码,名称,最新价,涨跌幅,成交额,总市值
000001,平安银行,10.99,-0.543,1074648533.0,213271040995.99997
000002,万科Ａ,3.78,-2.3256,459772879.0,45098081800.0
000006,深振业Ａ,9.72,-2.2133,462786783.0,13121951847.000002
000007,全新好,12.69,-1.3219,198572674.0,4396425678.0
000008,神州高铁,2.69,-1.8248,140865761.0,7307055967.0
000009,中国宝安,7.92,-1.1236,206566195.0,20427374603.0
000010,*ST美丽,2.7,3.8462,162557873.0,3104061188.0
000011,深物业A,7.6,-1.6818,44253558.0,4529441099.0
000012,南玻Ａ,3.73,-3.1169,100309830.0,11348408665.0
000014,沙河股份,12.11,-1.5447,78187458.0,2931179773.0000005
000016,*ST康佳A,3.19,-1.5432,101242378.0,7681345852.0
000017,深中华A,5.91,-1.005,40472536.0,4073082954.0
000019,深粮控股,7.05,-1.5363,100828230.0,8125373541.0
000020,深华发Ａ,13.58,-2.7221,98318983.0,3845329463.0
000021,深科技,33.66,-1.9802,5388094177.0,52990015043.0
000025,特力Ａ,15.41,-0.964,61400090.0,6642608711.0
000026,飞亚达,20.22,-0.2959,460804517.0,8204548222.000001
000027,深圳能源,7.26,-0.955,439868241.0,34538650790.0
000028,国药一致,24.14,-0.2067,52126136.0,13435480959.0
000029,深深房Ａ,28.91,3.2131,427563274.0,29247090600.0
000030,富奥股份,4.81,-0.6198,87769646.0,8272290164.0
000031,大悦城,2.86,-1.0381,87183636.0,12258856150.0
000032,深桑达Ａ,18.39,0.218,387133249.0,22347147529.000004
000034,神州数码,40.72,-0.4401,1539379952.0,29572599364.0
000035,中国天楹,6.19,-3.7325,331263223.0,14781922840.0
000036,华联控股,5.71,-1.2111,253511030.0,8015804920.0
000037,深南电A,10.76,-2.4479,356850797.0,6485725533.0
000039,中集集团,12.13,-3.7302,563896050.0,65411272270.0
000042,中洲控股,10.11,0.1982,65807992.0,6721442815.0
000045,深纺织Ａ,12.05,-1.5523,94959462.0,6103588280.0
000048,京基智农,14.34,-1.9152,126358671.0,7604247465.0
000049,德赛电池,27.03,-1.6733,354940113.0,10396779574.0
000050,深天马Ａ,7.47,-3.2383,270323964.0,18359375028.0
000055,方大集团,3.6,-0.5525,41397571.0,3865947217.0
000056,*ST皇庭,1.51,-5.0314,87571983.0,1785617612.0
000058,深赛格,7.93,-2.2195,76378855.0,9763421329.0
000059,华锦股份,5.0,-1.5748,130530612.0,7997212685.0
000060,中金岭南,7.4,-6.3291,2298953653.0,32864676189.0
000061,农产品,6.9,-2.6798,154638270.0,13696232266.0
000062,深圳华强,32.11,-4.6049,2172896991.0,33584148328.999996
000063,中兴通讯,36.71,-2.263,5466586803.0,175603565702.0
000065,北方国际,12.56,-2.1044,257798531.0,14587713517.0
000066,中国长城,20.5,-9.5721,11035474251.0,66128881304.0
000068,华控赛格,3.3,-1.4925,69205526.0,3322015831.0
000069,华侨城Ａ,2.1,-1.8692,103041203.0,16879291911.0
000070,特发信息,19.06,-6.7971,2051829621.0,16551569608.0
000078,ST海王,2.11,-4.955,4622799.0,5551670072.0
000088,盐田港,4.51,-2.5918,171421447.0,23449669890.0
000089,深圳机场,6.76,-1.4577,89410420.0,13863201881.0
000090,天健集团,3.42,-1.1561,61293043.0,6390425384.0
000096,广聚能源,9.03,-0.441,58829871.0,4767840000.0
000099,中信海直,16.97,-0.644,163165355.0,13164819225.000002
000100,TCL科技,4.18,-2.3364,2863652224.0,86947605028.00002
000151,中成股份,11.78,-1.8333,115580728.0,4133676049.0
000153,丰原药业,6.2,-1.2739,35530412.0,2881050236.0
000155,川能动力,15.83,0.5079,667617939.0,29224844854.0
000156,华数传媒,7.26,-0.8197,83265600.0,13452289529.0
000157,中联重科,7.53,-0.9211,595320235.0,65123470327.0
000158,常山北明,16.89,-1.0545,404761655.0,27000636418.0
000159,国际实业,6.9,0.1451,594185633.0,3316733351.9999995
000166,申万宏源,4.54,-2.7837,602172957.0,113681348302.0
000301,东方盛虹,13.02,-0.3063,406414028.0,86078224118.00002
000333,美的集团,82.57,0.929,3525964212.0,628258165168.0
000338,潍柴动力,34.77,1.6667,3793084838.0,302930047028.0
000400,许继电气,26.36,-0.6408,734113785.0,26850882484.0
000401,金隅冀东,4.11,-1.4388,51739098.0,10925272836.0
000402,金融街,3.01,-0.9868,287514635.0,8996679020.0
000403,派林生物,11.2,-1.3216,86183179.0,10644450723.000002
000404,长虹华意,8.52,1.308,249607478.0,5929885741.0
000407,胜利股份,4.48,0.6742,71113134.0,3942779258.9999995
000408,藏格矿业,83.71,-4.5278,1788886631.0,131443597114.0
000409,云鼎科技,9.82,-0.7078,70388492.0,6655509959.0
000410,沈阳机床,6.05,2.0236,228906144.0,16026891704.0
000411,英特集团,11.79,0.0849,114498665.0,6659571431.0
000415,渤海租赁,4.33,-2.2573,340525682.0,26778977151.0
000417,合百集团,7.15,-4.1555,339788676.0,5576172030.0
000419,通程控股,5.5,-1.61,50114129.0,2989704603.0
000420,吉林化纤,5.09,-0.9728,518771319.0,12515639866.0
000421,南京公用,6.2,-0.641,54146862.0,3561377551.0
000422,湖北宜化,15.4,1.3825,541630381.0,16748804565.0
000423,东阿阿胶,52.26,-1.7669,292297079.0,33654228822.0
000425,徐工机械,10.21,-0.3902,924503539.0,119571458684.0
000426,兴业银锡,44.14,-8.3662,5293601318.0,78376561519.0
000428,华天酒店,3.7,-1.8568,63439091.0,3770026200.0
000429,粤高速Ａ,13.13,0.613,87125728.0,27452284434.000004
000488,ST晨鸣,2.35,-0.8439,31468050.0,6912422070.000001
000498,山东路桥,5.35,-1.8349,74174347.0,8305561816.0
000501,武商集团,7.81,-2.2528,73533508.0,6005833229.0
000503,国新健康,7.7,-1.0283,119167570.0,7540244033.999999
000504,*ST生物,9.26,-0.6438,23359026.0,3056013887.0
000505,京粮控股,6.64,-2.7818,140925389.0,4826949667.0
000506,招金黄金,14.44,-5.3115,525158283.00000006,13415016469.0
000507,珠海港,5.19,-1.1429,70308664.0,4773424105.0
000509,华塑控股,3.81,0.2632,115513700.0,4088617878.0
000510,新金路,14.03,-6.1538,870982632.0,9099066554.0
000513,丽珠集团,30.88,-1.6874,185473188.0,27418573440.0
000514,渝开发,4.79,-2.045,48895540.0,4041662922.0000005
000516,国际医学,4.49,0.4474,114662135.0,10052646421.0
000517,荣安地产,1.98,-1.4925,35085993.0,6304166520.0
000518,*ST四环,3.23,4.8701,122645897.0,3325466597.0
000519,中兵红箭,17.58,-1.8425,505714209.0,24481186904.000004
000520,凤凰航运,3.99,-0.7463,66749590.0,4038212984.9999995
000521,长虹美菱,5.6,-0.1783,35685528.0,5767572804.0
000523,红棉股份,3.45,1.7699,151113980.0,6332366189.999999
000524,岭南控股,9.45,-1.4599,72138315.0,6333471242.0
000525,红太阳,5.13,-2.2857,128956877.0,6685203315.0
000526,学大教育,34.09,-0.8435,55649780.0,4154245206.0
000528,柳工,9.51,0.5285,364653787.0,19370406097.0
000529,广弘控股,5.37,-1.8282,32649317.0,3134954072.0
000530,冰山冷热,5.99,-0.3328,137251575.0,5050842917.0
000531,穗恒运Ａ,7.07,-1.9417,181119704.0,7362707417.0
000532,华金资本,11.89,-1.8977,77798388.0,4098582162.9999995
000533,顺钠股份,13.63,-5.0174,1096181892.0,9415822080.0
000534,万泽股份,36.88,-4.6042,756997817.0,18792149270.0
000536,华映科技,3.91,-2.25,176947094.0,10815188259.999998
000537,绿发电力,10.55,-3.2997,716586724.0,21687823834.0
000538,云南白药,50.9,-1.165,406401355.0,90818966493.0
000539,粤电力Ａ,6.9,-4.5643,1169206417.0,36226959503.0
000541,佛山照明,5.37,-2.0073,60746145.0,8247129094.999999
000543,皖能电力,8.43,0.0,518913354.0,19109657880.0
000544,中原环保,8.14,-1.6908,46649608.0,7933931732.0
000545,金浦钛业,2.92,-0.3413,110247516.0,2881552640.0000005
