ts_code,circ_mv,total_mv,turnover_rate,pe_ttm
605116.SH,885479.4501,885479.4501,1.0318,22.4901
002651.SZ,525881.1861,961117.8,2.9084,233.5147
300971.SZ,229248.208,292236.0,3.0323,31.0982
300808.SZ,318888.6682,429120.0,2.2993,
603809.SH,1022440.8646,1022440.8646,1.5366,36.9542
603010.SH,853313.548,874620.288,2.4,
600107.SH,243360.0,243360.0,2.2715,
603279.SH,1052457.098,1052457.098,1.0233,22.0558
002737.SZ,788983.5947,788984.0,0.7148,
002193.SZ,141063.873,141064.6815,12.5319,
603393.SH,1281090.9689,1283209.8568,2.2929,22.332
301009.SZ,162664.7252,292793.22,2.0291,150.8558
002313.SZ,379614.9065,379641.6,5.0517,
002385.SZ,1335450.5819,1629729.7761,2.0998,
300652.SZ,537533.4922,598923.6683,3.2241,45.0102
603609.SH,620362.8438,620362.8438,0.5115,
002238.SZ,581855.391,581855.391,0.8928,
605183.SH,680508.5843,686207.1893,0.4916,15.656
001400.SZ,619799.3025,1126140.0,4.8161,132.1259
688038.SH,239729.204,239729.204,2.3089,
603128.SH,744847.4551,744847.4551,1.4558,16.0915
688163.SH,426062.14,426062.14,4.9597,87.6721
300920.SZ,309363.9502,471100.0,3.9747,187.1815
600536.SH,3370405.3005,3730477.4031,2.9286,
600268.SH,1584983.5929,1592885.3799,4.8486,32.3524
300588.SZ,367082.5343,397493.8583,4.6124,
600009.SH,5426733.2738,6599006.1821,0.5599,30.3321
920419.BJ,123764.8307,132232.192,0.6068,24.3476
603028.SH,264296.7,266947.2,3.8427,
688691.SH,849823.4715,1397640.0,12.6695,
603112.SH,1191637.9799,1203573.9628,1.8142,21.0522
002421.SZ,584986.1383,619209.8386,2.9165,
600736.SH,990111.9,990111.9,12.7981,45.8669
688311.SH,579421.9312,579421.9312,4.3301,
601007.SH,286650.0,286650.0,2.043,43.8885
002926.SZ,2252250.0,2252250.0,0.6609,14.4105
000776.SZ,12014740.3479,15923560.6149,0.6973,10.1736
600265.SH,280108.4,280108.4,1.0059,
600702.SH,1454874.9767,1455487.3367,3.2048,134.2281
002201.SZ,803700.9053,869934.3817,9.9995,96.8951
603722.SH,377058.4767,385017.2767,1.5084,
301398.SZ,166927.215,502320.0,3.9273,374.3798
600824.SH,421610.8292,421610.8292,1.1041,33.2442
600011.SH,8281275.569,11820664.2993,2.4457,8.4914
301208.SZ,221473.5451,402240.2011,2.4864,80.4761
600305.SH,810696.3476,813256.5731,0.7114,52.887
600292.SH,673861.0163,6719236.3123,4.052,75.9173
920781.BJ,74036.2786,112061.1142,2.1636,
600406.SH,21838296.3938,21902599.0374,2.3197,26.325
000055.SZ,244659.3033,388742.4702,1.4276,
000997.SZ,2251627.0165,2264273.84,5.0097,23.0816
000049.SZ,1057086.3356,1057371.33,3.336,32.6829
301213.SZ,376818.4141,582959.9927,3.0427,304.2255
