ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000001.SZ,20260507,11.37,11.39,11.3,11.37,11.36,0.01,0.088,936958.06,10.62755239
000002.SZ,20260507,4.0,4.02,3.96,3.98,4.01,-0.03,-0.7481,1134745.85,4.51546433
000006.SZ,20260507,9.63,9.64,9.3,9.44,9.47,-0.03,-0.3168,289643.16,2.73799875
000007.SZ,20260507,16.09,17.4,15.68,17.02,15.97,1.05,6.5748,141742.3,2.35303604
000008.SZ,20260507,2.7,2.73,2.7,2.73,2.7,0.03,1.1111,518062.19,1.40584741
000009.SZ,20260507,8.73,8.73,8.57,8.61,8.74,-0.13,-1.4874,375572.46,3.2403230200000004
000010.SZ,20260507,2.61,2.61,2.61,2.61,2.75,-0.14,-5.0909,11932.0,0.03114252
000011.SZ,20260507,8.0,8.03,7.86,7.87,8.0,-0.13,-1.625,60559.01,0.47911548000000004
000012.SZ,20260507,4.03,4.05,4.01,4.04,4.03,0.01,0.2481,206051.99,0.8308341300000001
000014.SZ,20260507,13.1,13.16,12.92,12.94,13.1,-0.16,-1.2214,79630.29,1.03548238
000016.SZ,20260507,2.99,3.03,2.93,2.94,3.08,-0.14,-4.5455,1152310.7,3.39762146
000017.SZ,20260507,6.41,6.56,6.38,6.39,6.41,-0.02,-0.312,84179.0,0.5424216399999999
000019.SZ,20260507,7.79,7.85,7.56,7.62,7.82,-0.2,-2.5575,220436.77,1.6861066699999998
000020.SZ,20260507,16.0,16.15,15.92,16.02,15.95,0.07,0.4389,57532.77,0.92410575
000021.SZ,20260507,30.86,31.93,30.65,31.54,30.72,0.82,2.6693,1236259.48,38.71674712
000025.SZ,20260507,16.25,16.38,16.07,16.12,16.31,-0.19,-1.1649,56262.5,0.91082602
000026.SZ,20260507,17.9,18.81,17.85,18.72,17.85,0.87,4.8739,209144.46,3.8732596399999997
000027.SZ,20260507,7.04,7.13,7.0,7.09,7.04,0.05,0.7102,488355.25,3.45599325
000028.SZ,20260507,24.57,24.62,24.48,24.52,24.57,-0.05,-0.2035,34789.11,0.8532644199999999
000029.SZ,20260507,21.24,21.49,21.12,21.39,21.14,0.25,1.1826,52271.13,1.1157746499999999
000030.SZ,20260507,5.12,5.13,5.08,5.09,5.1,-0.01,-0.1961,138412.46,0.70615335
000031.SZ,20260507,3.11,3.11,2.98,3.02,3.09,-0.07,-2.2654,277733.12,0.84045212
000032.SZ,20260507,18.0,18.32,17.99,18.22,17.84,0.38,2.13,184173.67,3.3398016
000034.SZ,20260507,39.83,42.3,39.48,41.4,39.43,1.97,4.9962,625900.6,25.551670729999998
000035.SZ,20260507,6.59,6.77,6.57,6.69,6.59,0.1,1.5175,458766.44,3.07384948
000036.SZ,20260507,5.58,5.61,5.47,5.52,5.59,-0.07,-1.2522,449978.7,2.4843379999999997
000037.SZ,20260507,11.23,11.35,11.14,11.3,11.18,0.12,1.0733,369466.73,4.15886284
000039.SZ,20260507,13.37,13.65,13.11,13.21,13.36,-0.15,-1.1228,858737.59,11.46952661
000042.SZ,20260507,9.74,9.85,9.51,9.61,9.76,-0.15,-1.5369,150536.42,1.45614733
000045.SZ,20260507,12.2,12.24,12.11,12.18,12.14,0.04,0.3295,61709.0,0.7516333100000001
000048.SZ,20260507,14.63,15.11,14.57,14.94,14.67,0.27,1.8405,144782.75,2.14993306
000049.SZ,20260507,29.39,29.4,28.75,28.87,29.39,-0.52,-1.7693,164976.66,4.77798186
000050.SZ,20260507,7.61,7.76,7.61,7.71,7.6,0.11,1.4474,283419.24,2.18419533
000055.SZ,20260507,3.73,3.76,3.69,3.71,3.71,0.0,0.0,116949.49,0.43557491000000004
000056.SZ,20260507,1.77,1.8,1.7,1.7,1.79,-0.09,-5.0279,879461.0,1.5282435
000058.SZ,20260507,8.24,8.26,8.14,8.17,8.23,-0.06,-0.729,70068.01,0.5739585899999999
000059.SZ,20260507,5.45,5.45,5.16,5.2,5.48,-0.28,-5.1095,517458.5,2.7155316
000060.SZ,20260507,7.71,8.17,7.59,8.08,7.43,0.65,8.7483,7235814.29,56.98227908
000061.SZ,20260507,7.55,7.6,7.34,7.4,7.53,-0.13,-1.7264,212256.49,1.57349908
000062.SZ,20260507,35.95,38.2,35.53,37.46,36.88,0.58,1.5727,1099820.21,40.51606182
000063.SZ,20260507,38.6,38.94,38.04,38.9,38.25,0.65,1.6993,1463360.14,56.47115493
000065.SZ,20260507,13.55,14.1,13.54,13.85,13.21,0.64,4.8448,510879.03,7.091676870000001
000066.SZ,20260507,23.29,23.98,22.98,23.98,21.8,2.18,10.0,5096882.18,119.9715149
000068.SZ,20260507,3.3,3.33,3.26,3.27,3.27,0.0,0.0,151558.31,0.498064
000069.SZ,20260507,2.27,2.29,2.23,2.23,2.27,-0.04,-1.7621,490493.62,1.10349718
000070.SZ,20260507,19.8,20.11,18.77,20.11,18.28,1.83,10.0109,1249888.32,24.476937149999998
000078.SZ,20260507,2.87,2.87,2.87,2.87,3.02,-0.15,-4.9669,16284.0,0.04673508
000088.SZ,20260507,4.54,4.58,4.53,4.57,4.53,0.04,0.883,266171.58,1.21440201
000089.SZ,20260507,7.08,7.11,6.95,6.98,7.05,-0.07,-0.9929,122344.95,0.85830967
000090.SZ,20260507,3.55,3.57,3.51,3.53,3.54,-0.01,-0.2825,176173.92,0.62248605
000096.SZ,20260507,9.57,9.57,9.46,9.49,9.61,-0.12,-1.2487,71305.0,0.67678162
000099.SZ,20260507,17.98,18.2,17.97,18.05,17.84,0.21,1.1771,87398.04,1.57997883
000100.SZ,20260507,4.35,4.41,4.29,4.3,4.29,0.01,0.2331,6900663.25,30.03157776
000151.SZ,20260507,11.98,12.19,11.9,12.04,11.94,0.1,0.8375,74008.41,0.8936576700000001
000153.SZ,20260507,6.5,6.53,6.37,6.38,6.5,-0.12,-1.8462,109513.4,0.70381235
000155.SZ,20260507,17.56,17.66,17.21,17.36,17.85,-0.49,-2.7451,834261.85,14.51017504
000156.SZ,20260507,7.55,7.6,7.48,7.58,7.51,0.07,0.9321,143138.01,1.07961383
000157.SZ,20260507,8.02,8.15,7.94,8.06,8.02,0.04,0.4988,989017.09,7.95371034
000158.SZ,20260507,17.76,17.88,17.55,17.77,17.75,0.02,0.1127,328523.53,5.80283601
000159.SZ,20260507,6.55,6.62,6.46,6.47,6.56,-0.09,-1.372,161232.77,1.05180573
000166.SZ,20260507,4.8,4.8,4.73,4.75,4.78,-0.03,-0.6276,753032.11,3.5791835499999998
000301.SZ,20260507,13.28,13.28,12.7,12.84,13.35,-0.51,-3.8202,379843.83,4.90063356
000333.SZ,20260507,80.0,80.98,79.77,79.81,80.44,-0.63,-0.7832,372176.47,29.88466109
000338.SZ,20260507,35.71,35.85,34.24,35.0,34.32,0.68,1.9814,1803513.77,62.862385010000004
000400.SZ,20260507,26.01,26.4,25.8,26.28,25.88,0.4,1.5456,321807.0,8.42465088
000401.SZ,20260507,4.25,4.32,4.22,4.24,4.24,0.0,0.0,150227.38,0.63840518
000402.SZ,20260507,3.43,3.48,3.3,3.35,3.49,-0.14,-4.0115,2557566.81,8.634101750000001
000403.SZ,20260507,11.71,11.78,11.56,11.68,11.71,-0.03,-0.2562,86333.58,1.00645789
000404.SZ,20260507,8.58,8.66,8.37,8.44,8.66,-0.22,-2.5404,341997.37,2.8964403
000407.SZ,20260507,4.75,4.75,4.61,4.63,4.75,-0.12,-2.5263,309833.37,1.44466814
000408.SZ,20260507,91.0,91.2,87.18,88.63,90.18,-1.55,-1.7188,166084.15,14.69811175
000409.SZ,20260507,10.23,10.24,10.1,10.22,10.18,0.04,0.3929,75382.43,0.76608361
000410.SZ,20260507,6.14,6.37,6.13,6.23,6.13,0.1,1.6313,495623.79,3.10232627
000411.SZ,20260507,10.78,10.86,10.67,10.77,10.73,0.04,0.3728,34054.87,0.36637819000000005
000415.SZ,20260507,4.62,4.81,4.6,4.77,4.61,0.16,3.4707,819613.7,3.89223422
000417.SZ,20260507,6.76,7.28,6.76,7.11,6.76,0.35,5.1775,371473.93,2.62578505
000419.SZ,20260507,5.87,5.88,5.74,5.75,5.85,-0.1,-1.7094,95546.0,0.55360608
000420.SZ,20260507,5.37,5.87,5.37,5.58,5.34,0.24,4.4944,2437621.26,13.70743739
000421.SZ,20260507,6.36,6.37,6.21,6.26,6.34,-0.08,-1.2618,102440.0,0.64146289
000422.SZ,20260507,16.6,16.63,15.92,16.09,16.75,-0.66,-3.9403,736006.01,11.87895721
000423.SZ,20260507,53.15,53.74,53.0,53.41,53.15,0.26,0.4892,52405.44,2.79787832
000425.SZ,20260507,10.18,10.38,10.15,10.37,10.12,0.25,2.4704,1138226.99,11.696857360000001
000426.SZ,20260507,46.31,48.68,46.31,48.14,45.18,2.96,6.5516,1175518.89,56.01466626
000428.SZ,20260507,3.79,3.83,3.73,3.74,3.79,-0.05,-1.3193,124179.0,0.46979258
000429.SZ,20260507,12.53,12.6,12.45,12.47,12.53,-0.06,-0.4789,59878.41,0.74970969
