主线,主线评分,ETF强度,涨停数,成分股数,龙头,弹性双创
CPO光模块,88.54,2.61,1,136,301139.SZ,300590.SZ;688418.SH;300555.SZ
卫星通信,88.47,2.28,1,136,301139.SZ,300590.SZ;688418.SH;300555.SZ
AI算力,88.42,2.02,1,136,301139.SZ,300590.SZ;688418.SH;300555.SZ
证券,85.82,5.57,0,50,600909.SH,
创新药,80.26,4.32,1,148,002940.SZ,300723.SZ;300966.SZ;300254.SZ;688166.SH
医药生物,80.13,3.68,1,148,002940.SZ,300723.SZ;300966.SZ;300254.SZ;688166.SH
银行,69.93,3.61,0,42,601988.SH,
半导体,60.26,2.51,2,194,300323.SZ,688110.SH
AI芯片,60.22,2.28,2,194,300323.SZ,688110.SH
AI芯片（端侧）,60.22,2.28,2,194,300323.SZ,688110.SH
传感器（CIS）,60.16,2.01,2,194,300323.SZ,688110.SH
煤炭,34.79,1.47,0,25,600758.SH,
