================================================================================
  主题趋势分析报告 - 20260720
================================================================================

★ 非一日游确认主题（中期趋势验证，排除脉冲式一日游）★
--------------------------------------------------------------------------------
  当前无确认主题（市场情绪偏弱，观望为主）
--------------------------------------------------------------------------------

  💤 休眠等待（近20天曾活跃，当前退潮，等待二次确认）:
     - 先进封装材料（历史最长5天，当前综:44，情:35）
     - 半导体材料（历史最长4天，当前综:16，情:12）
     - 氟化工制冷剂（历史最长4天，当前综:17，情:11）
     - 半导体设备（历史最长3天，当前综:24，情:30）
     - PCB电子电路（历史最长2天，当前综:26，情:29）
     - 先进封装（历史最长2天，当前综:15，情:13）
     - 功率半导体（历史最长2天，当前综:13，情:8）
     - 半导体制造（历史最长2天，当前综:18，情:17）

⚠️ 风险提示
------------------------------------------------------------
  建筑装饰         退潮 趋势: 49.4 情绪: 14.0 → 规避
  轨交设备         退潮 趋势: 40.0 情绪: 18.8 → 规避
  特高压          退潮 趋势: 33.0 情绪: 25.6 → 规避
  汽车零部件        退潮 趋势: 42.9 情绪: 11.3 → 规避
  军工           退潮 趋势: 37.4 情绪: 17.9 → 规避
  工业金属         退潮 趋势: 38.6 情绪: 15.4 → 规避
  造纸轻工         退潮 趋势: 33.5 情绪: 10.4 → 规避
  化学纤维         退潮 趋势: 32.2 情绪: 11.4 → 规避
  智能驾驶         退潮 趋势: 26.7 情绪: 17.3 → 规避
  玻璃建材         退潮 趋势: 31.6 情绪: 11.2 → 规避
  半导体制造        退潮 趋势: 20.7 情绪: 22.9 → 规避
  光通信          退潮 趋势: 19.1 情绪: 20.6 → 规避
  固态电池         退潮 趋势: 23.8 情绪: 11.4 → 规避
  充电桩          退潮 趋势: 22.6 情绪: 12.8 → 规避
  核聚变          退潮 趋势: 22.0 情绪: 13.4 → 规避
  新能源汽车链       退潮 趋势: 22.9 情绪: 10.6 → 规避
  PCB产业链       退潮 趋势: 20.6 情绪: 12.5 → 规避
  金属制品         退潮 趋势: 21.8 情绪: 10.6 → 规避
  商业航天         退潮 趋势: 19.3 情绪: 13.4 → 规避
  激光设备         退潮 趋势: 19.4 情绪: 13.1 → 规避
  能源金属         退潮 趋势: 21.6 情绪:  8.9 → 规避
  先进封装         退潮 趋势: 16.8 情绪: 14.7 → 规避
  半导体材料        退潮 趋势: 17.9 情绪: 12.7 → 规避
  培育钻石         退潮 趋势: 18.7 情绪: 11.0 → 规避
  人形机器人        退潮 趋势: 20.5 情绪:  8.8 → 规避
  小金属          退潮 趋势: 20.5 情绪:  8.5 → 规避
  半导体设备        退潮 趋势: 18.4 情绪: 10.8 → 规避
  被动元件         退潮 趋势: 17.9 情绪: 11.4 → 规避
  功率半导体        退潮 趋势: 17.5 情绪: 11.7 → 规避
  工业气体         退潮 趋势: 17.0 情绪: 12.3 → 规避
  工业智能         退潮 趋势: 19.8 情绪:  8.8 → 规避
  化工新材料        退潮 趋势: 17.5 情绪: 10.4 → 规避
  氟化工制冷剂       退潮 趋势: 17.8 情绪:  8.7 → 规避

--------------------------------------------------------------------------------
排名  主题           趋势     情绪     综合     状态        
--------------------------------------------------------------------------------
1   煤炭链          66.9   85.4   75.2   强趋势↑      
2   红利公用事业       65.5   84.7   74.1   强趋势↑      
3   石油石化         65.0   77.9   70.8   强趋势↑      
4   必选消费红利链      67.2   55.4   61.9   震荡→       
5   保险           68.8   48.0   59.4   震荡→       
6   发电与电源设备      62.8   55.1   59.3   弱趋势→      
7   中药           65.2   49.9   58.3   震荡→       
8   创新药          61.9   52.8   57.8   震荡→       
9   消费白马         63.7   41.9   53.9   震荡→       
10  医药产业链        61.8   40.6   52.3   震荡→       
11  银行           63.9   37.5   52.0   震荡→       
12  钢铁           53.9   40.4   47.8   震荡→       
13  券商           55.0   35.2   46.1   震荡→       
14  餐饮食品链        59.7   28.5   45.7   震荡→       
15  金融科技         50.6   38.8   45.3   震荡→       
16  数据要素         41.7   47.8   44.4   弱势        
17  多元金融         53.1   32.6   43.9   震荡→       
18  AI应用与模型      38.5   50.2   43.8   弱势        
19  AI文娱内容       48.9   36.7   43.4   弱势        
20  电网智能化        36.1   51.2   42.9   弱势        
21  脑机接口         42.0   43.8   42.8   弱势        
22  软件与IT服务      46.9   37.5   42.7   弱势        
23  交通运输物流       56.8   25.2   42.6   震荡→       
24  合成生物         49.5   29.5   40.5   弱势        
25  医疗服务         53.8   23.7   40.3   震荡→       
26  商超零售链        46.3   30.7   39.3   弱势        
27  基建地产链        54.5   19.1   38.6   震荡→       
28  家电家居链        46.6   27.5   38.0   弱势        
29  环保           46.5   26.8   37.6   弱势        
30  大农业          54.7   15.9   37.2   震荡→       
31  氢能           32.3   42.2   36.8   弱势        
32  电信运营商        35.6   38.2   36.8   弱势        
33  化工链          43.2   28.1   36.4   弱势        
34  航空运输         49.5   20.4   36.4   弱势        
35  钾肥磷化工        44.2   26.1   36.1   弱势        
36  工程机械与重型装备    44.3   24.5   35.4   弱势        
37  AI算力基建       28.6   43.4   35.3   弱势        
38  电力设备         35.6   32.6   34.2   弱势        
39  建筑装饰         49.4   14.0   33.5   退潮↓       
40  AI新消费        35.5   29.7   32.9   弱势        
41  纺织服饰         45.2   17.7   32.8   弱势        
42  轨交设备         40.0   18.8   30.5   退潮↓       
43  特高压          33.0   25.6   29.7   退潮↓       
44  贵金属          32.4   26.0   29.5   弱势        
45  新型储能         27.2   30.8   28.8   弱势        
46  汽车零部件        42.9   11.3   28.7   退潮↓       
47  军工           37.4   17.9   28.6   退潮↓       
48  工业金属         38.6   15.4   28.2   退潮↓       
49  华为产业链        25.2   29.6   27.2   弱势        
50  低空经济         30.5   19.4   25.5   弱势        
51  品牌消费电子       24.3   25.8   25.0   弱势        
52  AI芯片         23.9   24.7   24.3   弱势        
53  工业母机与自动化     25.5   20.8   23.4   弱势        
54  造纸轻工         33.5   10.4   23.1   退潮↓       
55  光学光电子        19.9   26.5   22.9   弱势        
56  化学纤维         32.2   11.4   22.8   退潮↓       
57  智能驾驶         26.7   17.3   22.5   退潮↓       
58  玻璃建材         31.6   11.2   22.4   退潮↓       
59  半导体制造        20.7   22.9   21.7   退潮↓       
60  消费电子与AI终端    20.7   22.2   21.4   弱势        
61  光通信          19.1   20.6   19.8   退潮↓       
62  固态电池         23.8   11.4   18.2   退潮↓       
63  充电桩          22.6   12.8   18.2   退潮↓       
64  核聚变          22.0   13.4   18.1   退潮↓       
65  新能源汽车链       22.9   10.6   17.4   退潮↓       
66  PCB产业链       20.6   12.5   17.0   退潮↓       
67  金属制品         21.8   10.6   16.8   退潮↓       
68  商业航天         19.3   13.4   16.6   退潮↓       
69  激光设备         19.4   13.1   16.6   退潮↓       
70  能源金属         21.6   8.9    15.9   退潮↓       
71  先进封装         16.8   14.7   15.9   退潮↓       
72  半导体材料        17.9   12.7   15.6   退潮↓       
73  培育钻石         18.7   11.0   15.2   退潮↓       
74  人形机器人        20.5   8.8    15.2   退潮↓       
75  小金属          20.5   8.5    15.1   退潮↓       
76  半导体设备        18.4   10.8   15.0   退潮↓       
77  被动元件         17.9   11.4   15.0   退潮↓       
78  功率半导体        17.5   11.7   14.9   退潮↓       
79  工业气体         17.0   12.3   14.9   退潮↓       
80  工业智能         19.8   8.8    14.8   退潮↓       
81  化工新材料        17.5   10.4   14.3   退潮↓       
82  氟化工制冷剂       17.8   8.7    13.7   退潮↓       
--------------------------------------------------------------------------------

================================================================================
────────────────────────────────────────────────────────────
【渤海证券轮动监测】
分析区间: 20260623 ~ 20260720 (20个交易日)
参与主题: 113 个
────────────────────────────────────────────────────────────
轮动速率（全量113主题每日每主题排名位移）:
  rotation_speed = 4.25  (阈值 7.5)
  stability_index = 0.336  (阈值 0.6)

【市场阶段】: 混沌期
