================================================================================
  主题趋势分析报告 - 20260811
================================================================================

★ 非一日游确认主题（中期趋势验证，排除脉冲式一日游）★
--------------------------------------------------------------------------------
  当前确认主题数: 9 / 84
------------------------------------------------------------
  ● 软件与IT服务      连续5天[中期延续]  综:74 情:100 涨停:2家  龙头:宏景科技  ✓趋势确立
      5日均综:83 5日均趋势:69 波动:4.7 方向:下行 确立度:84
      近5日龙头: 海康威视→同花顺→中科曙光  [轮动接力]
  ● PCB产业链       连续4天[脉冲待确认]  综:86 情:93 涨停:24家  龙头:科翔股份  ⚠趋势未确立
      5日均综:64 5日均趋势:57 波动:22.7 方向:上行 确立度:59
      近5日龙头: 东山精密→胜宏科技→科翔股份  [轮动接力]
  ● 先进封装         连续4天[脉冲待确认]  综:76 情:83 涨停:2家  龙头:沃格光电  ⚠趋势未确立
      5日均综:59 5日均趋势:50 波动:21.2 方向:上行 确立度:56
      近5日龙头: 通富微电→沃格光电→长电科技  [轮动接力]
  ● 化工新材料        连续4天[脉冲待确认]  综:72 情:69 涨停:2家  龙头:东材科技  ⚠趋势未确立
      5日均综:64 5日均趋势:60 波动:19.2 方向:下行 确立度:60
      近5日龙头: 雅克科技→鼎龙股份→中巨芯  [轮动接力]
  ● 创新药          连续1天[脉冲待确认]  综:82 情:88 涨停:32家  龙头:康龙化成  ⚠趋势未确立
      5日均综:54 5日均趋势:57 波动:17.9 方向:上行 确立度:27
      近5日龙头: 药明康德→康龙化成  [轮动接力]
  ● 合成生物         连续1天[脉冲待确认]  综:76 情:83 涨停:6家  龙头:义翘神州  ⚠趋势未确立
      5日均综:53 5日均趋势:59 波动:13.8 方向:上行 确立度:28
      近5日龙头: 百普赛斯→义翘神州→利民股份  [轮动接力]
  ● 医疗服务         连续1天[脉冲待确认]  综:74 情:81 涨停:13家  龙头:五洲医疗  ⚠趋势未确立
      5日均综:56 5日均趋势:59 波动:11.0 方向:上行 确立度:32
      近5日龙头: 济民健康→迪安诊断→九安医疗  [轮动接力]
  ● 小金属          连续1天[脉冲待确认]  综:73 情:69 涨停:3家  龙头:云南锗业  ⚠趋势未确立
      5日均综:66 5日均趋势:67 波动:9.2 方向:下行 确立度:42
      近5日龙头: 云南锗业  [核心锚定]
  ● 医药产业链        连续1天[脉冲待确认]  综:66 情:68 涨停:16家  龙头:药明康德  ⚠趋势未确立
      5日均综:50 5日均趋势:54 波动:9.8 方向:上行 确立度:29
      近5日龙头: 药明康德  [核心锚定]
--------------------------------------------------------------------------------

  周期分布: 脉冲待确认8个、中期延续1个
  趋势确立: 1个 / 脉冲待确认: 8个

  ⚡ 脉冲待确认（1-2天强势但中期趋势未确立，谨慎追高）:
     - PCB产业链（连续4天，5日均综:64，波动:22.7，确立度:59）
     - 先进封装（连续4天，5日均综:59，波动:21.2，确立度:56）
     - 化工新材料（连续4天，5日均综:64，波动:19.2，确立度:60）
     - 创新药（连续1天，5日均综:54，波动:17.9，确立度:27）
     - 合成生物（连续1天，5日均综:53，波动:13.8，确立度:28）
     - 医疗服务（连续1天，5日均综:56，波动:11.0，确立度:32）
     - 小金属（连续1天，5日均综:66，波动:9.2，确立度:42）
     - 医药产业链（连续1天，5日均综:50，波动:9.8，确立度:29）

  💤 休眠等待（近20天曾活跃，当前退潮，等待二次确认）:
     - AI算力基建（历史最长4天，当前综:52，情:35）
     - 电力设备（历史最长4天，当前综:41，情:24）
     - AI应用与模型（历史最长3天，当前综:45，情:32）
     - AI芯片（历史最长3天，当前综:65，情:63）
     - 光通信（历史最长3天，当前综:69，情:65）
     - 半导体材料（历史最长3天，当前综:70，情:63）
     - 核聚变（历史最长3天，当前综:59，情:51）
     - 红利公用事业（历史最长3天，当前综:31，情:24）

⚠️ 风险提示
------------------------------------------------------------
  必选消费红利链      退潮 趋势: 42.7 情绪:  9.7 → 规避
  银行           退潮 趋势: 40.3 情绪: 10.0 → 规避
  多元金融         退潮 趋势: 39.8 情绪:  6.3 → 规避
  券商           退潮 趋势: 35.6 情绪:  6.1 → 规避
  保险           退潮 趋势: 28.5 情绪:  5.4 → 规避

--------------------------------------------------------------------------------
排名  主题           趋势     情绪     综合     状态        
--------------------------------------------------------------------------------
1   被动元件         66.6   62.1   64.6   强趋势↑      
2   创新药          75.5   46.6   62.5   震荡→       
3   人形机器人        62.5   40.4   52.6   震荡→       
4   先进封装         64.6   34.1   50.9   分歧~       
5   医疗服务         59.3   39.1   50.2   分歧~       
6   工业母机与自动化     60.5   34.8   48.9   分歧~       
7   纺织服饰         61.1   33.1   48.5   震荡→       
8   半导体材料        65.4   26.9   48.1   震荡→       
9   医药产业链        58.4   35.5   48.1   分歧~       
10  AI芯片         58.3   32.1   46.5   分歧~       
11  智能驾驶         56.8   34.0   46.5   震荡→       
12  PCB产业链       68.3   18.8   46.0   震荡→       
13  AI算力运营       53.4   36.9   46.0   震荡→       
14  消费电子与AI终端    56.2   32.3   45.4   分歧~       
15  新型储能         59.1   28.0   45.1   震荡→       
16  中药           49.6   39.0   44.8   弱势        
17  金属制品         54.7   32.4   44.7   震荡→       
18  石油石化         55.4   31.4   44.6   震荡→       
19  充电桩          56.7   29.0   44.2   分歧~       
20  AI算力基建       57.9   26.8   43.9   震荡→       
21  合成生物         63.5   19.6   43.7   震荡→       
22  煤炭链          61.5   21.4   43.5   震荡→       
23  造纸轻工         53.9   29.5   42.9   震荡→       
24  贵金属          62.1   18.9   42.7   震荡→       
25  光通信          57.0   24.4   42.3   震荡→       
26  功率半导体        59.8   20.2   42.0   震荡→       
27  AI文娱内容       50.5   29.5   41.1   震荡→       
28  半导体设备        61.9   14.9   40.8   震荡→       
29  高端材料         53.3   25.6   40.8   震荡→       
30  光学光电子        58.8   18.2   40.5   震荡→       
31  轨交设备         51.4   27.2   40.5   震荡→       
32  品牌消费电子       58.2   18.8   40.5   震荡→       
33  工业智能         57.3   19.8   40.4   震荡→       
34  软件与IT服务      50.2   28.0   40.2   震荡→       
35  半导体制造        59.4   16.2   40.0   震荡→       
36  汽车零部件        45.7   33.1   40.0   弱势        
37  化工新材料        60.1   14.9   39.8   震荡→       
38  AI新消费        52.3   24.0   39.6   震荡→       
39  激光设备         55.7   19.8   39.5   震荡→       
40  环保           50.7   25.3   39.3   震荡→       
41  餐饮食品链        51.7   23.1   38.8   震荡→       
42  商业航天         48.1   27.3   38.7   弱势        
43  工程机械与重型装备    44.7   29.0   37.6   弱势        
44  家电家居链        45.1   27.7   37.3   弱势        
45  基建地产链        43.9   29.2   37.3   弱势        
46  工业气体         57.1   11.5   36.6   震荡→       
47  建筑装饰         44.1   27.0   36.4   弱势        
48  小金属          51.9   16.3   35.9   震荡→       
49  化工链          45.4   24.1   35.8   弱势        
50  电信运营商        52.4   14.3   35.3   震荡→       
51  红利公用事业       43.4   24.9   35.1   弱势        
52  发电与电源设备      41.9   26.8   35.1   弱势        
53  AI应用与模型      49.3   17.5   35.0   弱势        
54  氢能           53.0   12.7   34.9   震荡→       
55  培育钻石         54.2   11.2   34.8   震荡→       
56  脑机接口         48.7   17.1   34.5   弱势        
57  商超零售链        51.9   13.0   34.4   震荡→       
58  工业金属         51.2   12.5   33.8   震荡→       
59  低空经济         50.9   13.0   33.8   震荡→       
60  电力设备         47.9   13.8   32.6   弱势        
61  电网智能化        50.6   10.3   32.5   震荡→       
62  金融科技         45.1   16.2   32.1   弱势        
63  新能源汽车链       48.8   11.1   31.8   弱势        
64  核聚变          45.8   13.2   31.1   弱势        
65  大农业          47.3   11.3   31.1   弱势        
66  能源金属         46.1   12.6   31.0   弱势        
67  玻璃建材         47.8   10.0   30.8   弱势        
68  钢铁           37.2   22.5   30.6   弱势        
69  化学纤维         48.6   8.6    30.6   弱势        
70  固态电池         46.0   10.7   30.1   弱势        
71  特高压          44.8   9.5    28.9   弱势        
72  消费白马         43.2   10.7   28.6   弱势        
73  军工           43.4   9.9    28.3   弱势        
74  交通运输物流       35.7   19.3   28.3   弱势        
75  必选消费红利链      42.7   9.7    27.8   退潮↓       
76  银行           40.3   10.0   26.7   退潮↓       
77  钾肥磷化工        41.4   8.5    26.6   弱势        
78  航空运输         41.0   7.5    25.9   弱势        
79  多元金融         39.8   6.3    24.7   退潮↓       
80  券商           35.6   6.1    22.3   退潮↓       
