================================================================================
  主题趋势分析报告 - 20260915
================================================================================

★ 非一日游确认主题（中期趋势验证，排除脉冲式一日游）★
--------------------------------------------------------------------------------
  当前无确认主题（市场情绪偏弱，观望为主）
--------------------------------------------------------------------------------

  💤 休眠等待（近20天曾活跃，当前退潮，等待二次确认）:
     - 软件与IT服务（历史最长5天，当前综:40，情:28）
     - AI算力基建（历史最长4天，当前综:44，情:27）
     - PCB产业链（历史最长4天，当前综:46，情:19）
     - 先进封装（历史最长4天，当前综:51，情:34）
     - 化工新材料（历史最长4天，当前综:40，情:15）
     - 电力设备（历史最长4天，当前综:33，情:14）
     - AI应用与模型（历史最长3天，当前综:35，情:18）
     - AI芯片（历史最长3天，当前综:46，情:32）

⚠️ 风险提示
------------------------------------------------------------
  AI算力基建       退潮 趋势: 41.1 情绪: 19.3 → 规避
  小金属          退潮 趋势: 39.3 情绪: 19.4 → 规避
  煤炭链          退潮 趋势: 38.0 情绪: 18.4 → 规避
  脑机接口         退潮 趋势: 36.2 情绪: 18.4 → 规避
  消费电子与AI终端    退潮 趋势: 39.3 情绪: 14.5 → 规避
  核聚变          退潮 趋势: 37.4 情绪: 15.7 → 规避
  光学光电子        退潮 趋势: 38.5 情绪: 12.1 → 规避
  交通运输物流       退潮 趋势: 41.2 情绪:  8.5 → 规避
  新型储能         退潮 趋势: 37.2 情绪: 12.3 → 规避
  环保           退潮 趋势: 39.8 情绪:  9.0 → 规避
  工业金属         退潮 趋势: 35.6 情绪: 11.5 → 规避
  医疗服务         退潮 趋势: 34.8 情绪:  9.4 → 规避
  合成生物         退潮 趋势: 33.8 情绪: 10.1 → 规避
  航空运输         退潮 趋势: 35.6 情绪:  7.8 → 规避
  贵金属          退潮 趋势: 35.2 情绪:  7.2 → 规避
  钢铁           退潮 趋势: 34.6 情绪:  7.3 → 规避
  电信运营商        退潮 趋势: 32.4 情绪:  9.2 → 规避
  氢能           退潮 趋势: 31.9 情绪:  8.9 → 规避
  保险           退潮 趋势: 34.5 情绪:  4.7 → 规避
  餐饮食品链        退潮 趋势: 30.6 情绪:  9.4 → 规避
  建筑装饰         退潮 趋势: 31.6 情绪:  8.2 → 规避
  AI文娱内容       退潮 趋势: 29.6 情绪: 10.6 → 规避
  医药产业链        退潮 趋势: 32.9 情绪:  6.3 → 规避
  基建地产链        退潮 趋势: 32.5 情绪:  6.8 → 规避
  纺织服饰         退潮 趋势: 32.2 情绪:  7.0 → 规避
  轨交设备         退潮 趋势: 31.2 情绪:  7.7 → 规避
  低空经济         退潮 趋势: 30.7 情绪:  8.0 → 规避
  电网智能化        退潮 趋势: 30.5 情绪:  7.7 → 规避
  多元金融         退潮 趋势: 30.4 情绪:  7.4 → 规避
  AI新消费        退潮 趋势: 28.4 情绪:  9.2 → 规避
  特高压          退潮 趋势: 28.9 情绪:  8.1 → 规避
  中药           退潮 趋势: 29.4 情绪:  7.4 → 规避
  券商           退潮 趋势: 29.5 情绪:  7.0 → 规避
  金融科技         退潮 趋势: 28.1 情绪:  7.8 → 规避
  商超零售链        退潮 趋势: 26.7 情绪:  9.5 → 规避
  智能驾驶         退潮 趋势: 27.9 情绪:  8.0 → 规避
  人形机器人        退潮 趋势: 28.5 情绪:  7.2 → 规避
  能源金属         退潮 趋势: 28.6 情绪:  6.4 → 规避
  钾肥磷化工        退潮 趋势: 23.0 情绪:  8.4 → 规避

--------------------------------------------------------------------------------
排名  主题           趋势     情绪     综合     状态        
--------------------------------------------------------------------------------
1   PCB产业链       64.2   56.4   60.7   分歧~       
2   先进封装         53.8   60.7   56.9   震荡→       
3   半导体制造        44.5   55.2   49.3   弱势        
4   半导体材料        54.9   40.2   48.3   震荡→       
5   被动元件         59.7   32.2   47.3   震荡→       
6   半导体设备        50.4   39.3   45.4   震荡→       
7   固态电池         40.7   47.0   43.5   弱势        
8   发电与电源设备      44.2   34.4   39.8   弱势        
9   新能源汽车链       41.3   34.8   38.4   弱势        
10  红利公用事业       48.6   25.6   38.3   弱势        
11  高端材料         48.8   24.6   37.9   弱势        
12  化工新材料        46.3   27.3   37.8   弱势        
13  工业气体         42.5   26.9   35.5   弱势        
14  AI芯片         36.6   32.2   34.6   弱势        
15  品牌消费电子       41.4   24.3   33.7   弱势        
16  功率半导体        38.8   26.4   33.2   弱势        
17  光通信          46.1   17.2   33.1   弱势        
18  家电家居链        42.4   20.8   32.7   弱势        
19  电力设备         39.5   24.2   32.6   弱势        
20  工业智能         38.5   24.7   32.3   弱势        
21  AI算力运营       37.1   25.7   32.0   弱势        
22  AI应用与模型      33.8   28.5   31.4   弱势        
23  AI算力基建       41.1   19.3   31.3   退潮↓       
24  充电桩          37.4   23.7   31.2   弱势        
25  工业母机与自动化     37.8   22.3   30.8   弱势        
26  化工链          35.2   24.5   30.4   弱势        
27  软件与IT服务      37.6   21.7   30.4   弱势        
28  玻璃建材         45.5   12.0   30.4   弱势        
29  小金属          39.3   19.4   30.3   退潮↓       
30  消费白马         38.2   20.7   30.3   弱势        
31  金属制品         36.7   20.2   29.3   弱势        
32  煤炭链          38.0   18.4   29.2   退潮↓       
33  化学纤维         32.3   25.2   29.1   弱势        
34  汽车零部件        36.9   18.8   28.8   弱势        
35  必选消费红利链      35.3   20.3   28.6   弱势        
36  脑机接口         36.2   18.4   28.2   退潮↓       
37  创新药          36.6   17.6   28.1   弱势        
38  消费电子与AI终端    39.3   14.5   28.1   退潮↓       
39  工程机械与重型装备    35.0   19.3   27.9   弱势        
40  核聚变          37.4   15.7   27.6   退潮↓       
41  银行           44.6   6.7    27.5   弱势        
42  石油石化         30.8   23.5   27.5   弱势        
43  商业航天         37.7   14.6   27.3   弱势        
44  光学光电子        38.5   12.1   26.6   退潮↓       
45  交通运输物流       41.2   8.5    26.5   退潮↓       
46  造纸轻工         31.4   20.5   26.5   弱势        
47  新型储能         37.2   12.3   26.0   退潮↓       
48  培育钻石         37.2   12.3   26.0   弱势        
49  环保           39.8   9.0    25.9   退潮↓       
50  军工           36.2   11.0   24.9   弱势        
51  工业金属         35.6   11.5   24.8   退潮↓       
52  激光设备         33.7   11.0   23.5   弱势        
53  医疗服务         34.8   9.4    23.4   退潮↓       
54  合成生物         33.8   10.1   23.1   退潮↓       
55  航空运输         35.6   7.8    23.1   退潮↓       
56  贵金属          35.2   7.2    22.6   退潮↓       
57  钢铁           34.6   7.3    22.3   退潮↓       
58  大农业          30.5   11.7   22.0   弱势        
59  电信运营商        32.4   9.2    22.0   退潮↓       
60  氢能           31.9   8.9    21.6   退潮↓       
61  保险           34.5   4.7    21.1   退潮↓       
62  餐饮食品链        30.6   9.4    21.1   退潮↓       
63  建筑装饰         31.6   8.2    21.1   退潮↓       
64  AI文娱内容       29.6   10.6   21.0   退潮↓       
65  医药产业链        32.9   6.3    20.9   退潮↓       
66  基建地产链        32.5   6.8    20.9   退潮↓       
67  纺织服饰         32.2   7.0    20.9   退潮↓       
