当前交易日1: 20260717
[缓存] 换手率已加载: 5522 只
[Init] 交易日: 20260717  K线区间: 20260418 ~ 20260717
券商: 6只
电力设备: 15只
银行: 38只
军工: 51只
PCB产业链: 8只
AI芯片: 25只
半导体制造: 7只
医药产业链: 72只
创新药: 46只
医药产业链: 72只
消费白马: 12只
红利公用事业: 13只
玻璃建材: 8只
化工链: 32只
工业金属: 18只
钢铁: 22只
煤炭链: 14只
石油石化: 10只
汽车零部件: 71只
新能源汽车链: 10只
工程机械与重型装备: 27只
交通运输物流: 20只
基建地产链: 20只
家电家居链: 12只
商超零售链: 16只
餐饮食品链: 24只
AI文娱内容: 33只
光学光电子: 12只
被动元件: 20只
半导体设备: 18只
半导体材料: 10只
功率半导体: 16只
先进封装: 19只
保险: 5只
多元金融: 13只
电信运营商: 4只
医疗服务: 70只
数据要素: 32只
华为产业链: 8只
金融科技: 51只
化工新材料: 17只
必选消费红利链: 15只
能源金属: 20只
贵金属: 7只
小金属: 18只
氟化工制冷剂: 5只
人形机器人: 24只
智能驾驶: 10只
