当前交易日1: 20260717
[缓存] 换手率已加载: 5522 只
[Init] 交易日: 20260717  K线区间: 20260418 ~ 20260717
券商: 8只
电力设备: 94只
银行: 38只
军工: 67只
PCB产业链: 10只
AI芯片: 25只
半导体制造: 7只
医药产业链: 84只
创新药: 46只
医药产业链: 84只
消费白马: 38只
红利公用事业: 21只
玻璃建材: 11只
化工链: 42只
工业金属: 19只
钢铁: 22只
煤炭链: 14只
石油石化: 13只
汽车零部件: 71只
新能源汽车链: 49只
工程机械与重型装备: 31只
交通运输物流: 49只
基建地产链: 45只
家电家居链: 14只
商超零售链: 18只
餐饮食品链: 37只
AI文娱内容: 57只
光学光电子: 12只
被动元件: 20只
半导体设备: 18只
半导体材料: 11只
功率半导体: 16只
先进封装: 19只
保险: 5只
多元金融: 13只
电信运营商: 4只
医疗服务: 70只
数据要素: 32只
华为产业链: 8只
金融科技: 51只
化工新材料: 17只
必选消费红利链: 38只
能源金属: 20只
贵金属: 7只
小金属: 18只
氟化工制冷剂: 5只
人形机器人: 45只
智能驾驶: 10只
