[扫描] 20260821 全市场 4986 只 | 市场环境: neutral
  进度 1000/4986 有效结果 837
  进度 2000/4986 有效结果 1610
  进度 3000/4986 有效结果 2320
  进度 4000/4986 有效结果 3183
[扫描] 完成 3795 条 | 已保存 D:\mystock\solo\output\pbp\pbp_daily_20260821.csv

代码 | 名称 | 结论 | 总分 | 星 | 状态 | 突破日 | 后N日 | 回踩日 | 踩量/突量 | 转强量比 | 平台分 | 突破分 | 回踩分
------------------------------------------------------------------------------------------------------------------------------------------------------
600128.SH | 苏豪弘业 | WAIT_REACCELERATION | 77.9 | 2 | PULLBACK_SUPPORT | 20260803 | 14 | 5 | 0.57 | 1.01 | 89.0 | 85.9 | 96.0
000953.SZ | 中哲精化 | WAIT_REACCELERATION | 77.9 | 2 | PULLBACK_SUPPORT | 20260810 | 9 | 2 | 0.44 | 1.12 | 95.0 | 86.5 | 100.0
600805.SH | 悦达投资 | WAIT_REACCELERATION | 77.9 | 2 | RE_ACCELERATION | 20260803 | 14 | 3 | 0.32 | 1.24 | 95.0 | 85.4 | 62.0
002476.SZ | 新叶股份 | WAIT_REACCELERATION | 77.9 | 2 | PULLBACK_SUPPORT | 20260817 | 4 | 1 | 0.74 | 1.23 | 95.0 | 90.0 | 59.0
002753.SZ | 永东股份 | WAIT_REACCELERATION | 77.9 | 2 | PULLBACK_SUPPORT | 20260817 | 4 | 1 | 0.81 | 1.24 | 98.0 | 92.3 | 63.0
603132.SH | 金徽股份 | WAIT_REACCELERATION | 77.9 | 2 | PULLBACK_SUPPORT | 20260805 | 12 | 3 | 0.63 | 0.78 | 88.0 | 94.8 | 82.0
600971.SH | 恒源煤电 | WAIT_REACCELERATION | 77.9 | 2 | PULLBACK_SUPPORT | 20260806 | 11 | 1 | 0.90 | 1.41 | 92.0 | 90.2 | 63.0
603273.SH | 天元智能 | WAIT_REACCELERATION | 77.5 | 2 | PULLBACK_SUPPORT | 20260803 | 14 | 1 | 0.54 | 1.05 | 96.0 | 86.1 | 73.0
002493.SZ | 荣盛石化 | WAIT_REACCELERATION | 77.5 | 2 | PULLBACK_SUPPORT | 20260806 | 11 | 1 | 0.55 | 0.92 | 91.0 | 88.9 | 76.0
301063.SZ | 海锅股份 | WAIT_REACCELERATION | 77.5 | 2 | PULLBACK_SUPPORT | 20260803 | 14 | 2 | 0.41 | 0.74 | 85.0 | 84.0 | 88.0
002524.SZ | 光正眼科 | WAIT_REACCELERATION | 77.4 | 2 | PULLBACK_SUPPORT | 20260810 | 9 | 1 | 0.62 | 1.22 | 95.0 | 85.6 | 58.0
002870.SZ | 香山股份 | WAIT_REACCELERATION | 76.1 | 2 | PULLBACK_SUPPORT | 20260812 | 7 | 3 | 0.48 | 0.95 | 87.0 | 87.2 | 77.0
002088.SZ | 鲁阳节能 | WAIT_REACCELERATION | 75.3 | 2 | PULLBACK_SUPPORT | 20260817 | 4 | 3 | 0.24 | 0.53 | 91.0 | 86.1 | 70.0
601388.SH | 怡球资源 | WAIT_REACCELERATION | 75.2 | 2 | PULLBACK_SUPPORT | 20260810 | 9 | 3 | 0.49 | 0.81 | 91.0 | 89.6 | 82.0
002486.SZ | 嘉麟杰 | WAIT_REACCELERATION | 75.1 | 2 | PULLBACK_SUPPORT | 20260814 | 5 | 2 | 0.55 | 0.72 | 91.0 | 93.1 | 82.0
300860.SZ | 锋尚文化 | WAIT_REACCELERATION | 74.9 | 2 | PULLBACK_SUPPORT | 20260805 | 12 | 2 | 0.25 | 0.47 | 76.0 | 84.6 | 88.0
001205.SZ | 盛航股份 | WAIT_REACCELERATION | 74.9 | 2 | PULLBACK_SUPPORT | 20260817 | 4 | 1 | 0.39 | 0.79 | 92.0 | 95.2 | 66.0
603112.SH | 华翔股份 | WAIT_REACCELERATION | 74.5 | 2 | PULLBACK_SUPPORT | 20260818 | 3 | 2 | 0.63 | 1.65 | 90.0 | 87.5 | 70.0
300538.SZ | 同益股份 | WAIT_REACCELERATION | 74.3 | 2 | PULLBACK_SUPPORT | 20260807 | 10 | 3 | 0.53 | 0.73 | 76.0 | 81.1 | 89.0
603968.SH | 醋化股份 | WAIT_REACCELERATION | 74.1 | 2 | PULLBACK_SUPPORT | 20260803 | 14 | 3 | 0.40 | 0.66 | 85.0 | 83.0 | 100.0
001356.SZ | 富岭股份 | WAIT_REACCELERATION | 73.8 | 2 | PULLBACK_SUPPORT | 20260817 | 4 | 3 | 0.60 | 1.04 | 86.0 | 86.1 | 70.0
002863.SZ | 今飞凯达 | WAIT_REACCELERATION | 73.7 | 2 | PULLBACK_SUPPORT | 20260817 | 4 | 2 | 0.60 | 0.83 | 94.0 | 83.9 | 70.0
000803.SZ | 山高环能 | WAIT_REACCELERATION | 73.6 | 2 | PULLBACK_SUPPORT | 20260803 | 14 | 1 | 0.66 | 1.19 | 75.0 | 86.5 | 66.0
002683.SZ | 广东宏大 | WAIT_REACCELERATION | 73.6 | 2 | PULLBACK_SUPPORT | 20260817 | 4 | 1 | 0.45 | 0.64 | 83.0 | 88.8 | 70.0
688755.SH | 汉邦科技 | WAIT_REACCELERATION | 73.5 | 2 | PULLBACK_SUPPORT | 20260807 | 10 | 1 | 0.60 | 1.28 | 89.0 | 82.4 | 73.0
000757.SZ | 浩物股份 | WAIT_REACCELERATION | 73.4 | 2 | PULLBACK_SUPPORT | 20260810 | 9 | 7 | 0.50 | 1.15 | 86.0 | 82.6 | 72.0
000060.SZ | 中金岭南 | WAIT_REACCELERATION | 73.3 | 2 | PULLBACK_SUPPORT | 20260805 | 12 | 6 | 0.40 | 0.95 | 79.0 | 86.2 | 64.0
603182.SH | 嘉华股份 | WAIT_REACCELERATION | 73.3 | 2 | PULLBACK_SUPPORT | 20260810 | 9 | 2 | 1.31 | 1.25 | 91.0 | 88.1 | 64.0
600561.SH | 江西长运 | WAIT_REACCELERATION | 73.2 | 2 | PULLBACK_SUPPORT | 20260803 | 14 | 9 | 0.49 | 0.71 | 86.0 | 78.6 | 75.0
600198.SH | 大唐电信 | WAIT_REACCELERATION | 72.8 | 2 | PULLBACK_SUPPORT | 20260814 | 5 | 4 | 0.61 | 0.79 | 88.0 | 86.3 | 63.0
[报告] 已写入 D:\mystock\solo\output\pbp\pbp_report_20260821.md
