BBS 100 底部右侧突破买点（最新交易日）
════════════════════════════════════════════════════════════
银宝山新 | 85.0 | S | Pullback | 不买 | 禁止：大盘弱势
罗欣药业 | 84.0 | A | Breakout | 不买 | 禁止：大盘弱势
光大嘉宝 | 83.0 | A | Rebreakout | 不买 | 禁止：大盘弱势
东方盛虹 | 81.0 | A | Pullback | 不买 | 禁止：大盘弱势
风华高科 | 80.0 | A | Extended | 不买 | 禁止：大盘弱势；偏离MA20过远
炜冈科技 | 79.0 | A | Rebreakout | 不买 | 禁止：大盘弱势
北方铜业 | 79.0 | A | Pullback | 不买 | 禁止：大盘弱势
博通集成 | 79.0 | A | Pullback | 不买 | 禁止：大盘弱势
冀衡医药 | 79.0 | A | Extended | 不买 | 禁止：大盘弱势；偏离MA20过远；单日暴涨过热
富瀚微 | 78.0 | A | Extended | 不买 | 禁止：大盘弱势；偏离MA20过远
渤海租赁 | 78.0 | A | Pullback | 不买 | 禁止：突破后放量跌回平台；大盘弱势
永安行 | 78.0 | A | Rebreakout | 不买 | 禁止：大盘弱势
人民网 | 78.0 | A | Pullback | 不买 | 禁止：大盘弱势
永安药业 | 78.0 | A | Rebreakout | 不买 | 禁止：大盘弱势；单日暴涨过热
福华尚纬 | 78.0 | A | Rebreakout | 不买 | 禁止：大盘弱势
北投科技 | 77.0 | A | Rebreakout | 不买 | 禁止：大盘弱势
景兴纸业 | 77.0 | A | Pullback | 不买 | 禁止：大盘弱势
恒源煤电 | 77.0 | A | Rebreakout | 不买 | 禁止：大盘弱势
金鹰股份 | 77.0 | A | Rebreakout | 不买 | 禁止：大盘弱势
世龙实业 | 77.0 | A | Rebreakout | 不买 | 禁止：大盘弱势
华海药业 | 77.0 | A | Rebreakout | 不买 | 禁止：大盘弱势
空港股份 | 77.0 | A | Breakout | 不买 | 禁止：大盘弱势
华新建材 | 76.0 | A | Rebreakout | 不买 | 禁止：大盘弱势
东方材料 | 76.0 | A | Extended | 不买 | 禁止：大盘弱势；偏离MA20过远
富春环保 | 76.0 | A | Rebreakout | 不买 | 禁止：大盘弱势
宇新股份 | 76.0 | A | Rebreakout | 不买 | 禁止：大盘弱势
乐凯胶片 | 76.0 | A | Breakout | 不买 | 禁止：大盘弱势
丽臣实业 | 75.0 | A | Rebreakout | 不买 | 禁止：大盘弱势
中交发展 | 75.0 | A | Rebreakout | 不买 | 禁止：大盘弱势；单日暴涨过热
四方新材 | 75.0 | A | Rebreakout | 不买 | 禁止：大盘弱势
湖南黄金 | 75.0 | A | Rebreakout | 不买 | 禁止：大盘弱势
金徽股份 | 75.0 | A | Extended | 不买 | 禁止：大盘弱势；偏离MA20过远
白银有色 | 75.0 | A | Extended | 不买 | 禁止：大盘弱势；偏离MA20过远
天洋新材 | 75.0 | A | Extended | 不买 | 禁止：大盘弱势；偏离MA20过远
苏州龙杰 | 75.0 | A | Breakout | 不买 | 禁止：大盘弱势
中国一重 | 75.0 | A | Pullback | 不买 | 禁止：大盘弱势
海南橡胶 | 75.0 | A | Pullback | 不买 | 禁止：大盘弱势
基蛋生物 | 74.0 | B | Rebreakout | 不买 | 禁止：大盘弱势；单日暴涨过热
三夫户外 | 74.0 | B | Breakout | 不买 | 禁止：大盘弱势
怡球资源 | 74.0 | B | Breakout | 不买 | 禁止：大盘弱势
风范股份 | 74.0 | B | Extended | 不买 | 禁止：大盘弱势；偏离MA20过远；单日暴涨过热
上海雅仕 | 74.0 | B | Breakout | 不买 | 禁止：大盘弱势
新朋股份 | 74.0 | B | Rebreakout | 不买 | 禁止：大盘弱势
鲁北化工 | 74.0 | B | Pullback | 不买 | 禁止：大盘弱势
华脉科技 | 74.0 | B | Rebreakout | 不买 | 禁止：大盘弱势
炼石航空 | 74.0 | B | Breakout | 不买 | 禁止：大盘弱势
航天机电 | 74.0 | B | Rebreakout | 不买 | 禁止：大盘弱势
和展能源 | 74.0 | B | Rebreakout | 不买 | 禁止：大盘弱势
