[18:28:01] 回填区间 20230103~20230731，交易日历共 139 天
[18:28:01] 待回填 139 天（其余 0 天已完整或已标记）
[18:29:03] 进度 10/139 | 20230116 写入 5226 行 | 累计 52249 行 | 剩余约 13.3 分钟
[18:30:10] 进度 20/139 | 20230206 写入 5237 行 | 累计 104560 行 | 剩余约 12.8 分钟
[18:31:17] 进度 30/139 | 20230220 写入 5259 行 | 累计 157034 行 | 剩余约 11.8 分钟
[18:32:20] 进度 40/139 | 20230306 写入 5273 行 | 累计 209704 行 | 剩余约 10.7 分钟
[18:33:29] 进度 50/139 | 20230320 写入 5296 行 | 累计 262566 行 | 剩余约 9.7 分钟
[18:34:39] 进度 60/139 | 20230403 写入 5313 行 | 累计 315621 行 | 剩余约 8.7 分钟
[18:35:51] 进度 70/139 | 20230418 写入 5339 行 | 累计 368891 行 | 剩余约 7.7 分钟
[18:36:52] 进度 80/139 | 20230505 写入 5325 行 | 累计 422209 行 | 剩余约 6.5 分钟
[18:37:54] 进度 90/139 | 20230519 写入 5351 行 | 累计 475571 行 | 剩余约 5.4 分钟
[18:38:58] 进度 100/139 | 20230602 写入 5366 行 | 累计 529153 行 | 剩余约 4.3 分钟
[18:40:02] 进度 110/139 | 20230616 写入 5375 行 | 累计 582875 行 | 剩余约 3.2 分钟
[18:41:05] 进度 120/139 | 20230704 写入 5411 行 | 累计 636840 行 | 剩余约 2.1 分钟
[18:42:06] 进度 130/139 | 20230718 写入 5421 行 | 累计 690999 行 | 剩余约 1.0 分钟
[18:43:06] 进度 139/139 | 20230731 写入 5442 行 | 累计 739919 行 | 剩余约 0.0 分钟
[18:43:06] 回填结束: 本次成功 139 天 / 新增 739919 行 / 失败 0 天
