# EGPT (Earnings Growth Pullback Timing) - 中报预增回踩择时 v1.3.2 - 洗盘修复专题
报告日期: 20260831 | 推送时间: 2026-08-31 19:23

> **说明**: 洗盘修复分=洗盘形态完整度(满分100)，排名仅代表形态标准程度。
> 综合评级(S/A/B)看的是趋势/动量/量价等7个因子综合得分，才是真正的强弱排序。
> 所以修复分高但评级低的(如100分A级)，说明刚启动不久、低吸安全；修复分略低但评级高的(如S级)，说明趋势已确立、确定性更强。

## ✅ 次日可买入（形态回踩中 × 综合风控双确认）

| 股票 | 评级 | 回踩买点分 | 洗盘修复分 | 主题 | 现价 | 止损 |
|------|:----:|:--------:|:--------:|------|:---:|:---:|
| 翱捷科技(688220) | D | 79 | 98 | 半导体 | 102.98 | 91.67 |
| 汉得信息(300170) | D | 77 | 79 | 信创 | 16.97 | 15.16 |
| 澜起科技(688008) | D | 76 | 76 | 半导体 | 204.95 | 181.29 |
| 凌玮科技(301373) | B | 76 | 96 | 化工 | 110.51 | 91.15 |
| 亚辉龙(688575) | B | 76 | 47 | 医疗器械 | 10.27 | 9.07 |
| 新瀚新材(301076) | D | 76 | 83 | 高端材料 | 23.15 | 21.00 |
| 欧科亿(688308) | D | 72 | 95 | 机器人 | 101.51 | 88.07 |
| 福昕软件(688095) | D | 71 | 93 | AI算力 | 63.63 | 57.29 |
| 伯特利(603596) | B | 70 | 34 | 智能驾驶 | 28.07 | 26.24 |
| 云从科技(688327) | D | 70 | 72 | 信创 | 10.53 | 9.55 |
| 志特新材(300986) | D | 70 | 88 | 建筑装饰 | 12.39 | 10.93 |
| 润欣科技(300493) | D | 66 | 78 | 半导体 | 13.29 | 12.33 |
| 汽轮科技(300277) | D | 65 | 30 | 智能制造 | 12.43 | 11.45 |
| 钧崴电子(301458) | D | 64 | 76 | 机器人 | 39.27 | 35.01 |
| 探路者(300005) | D | 63 | 50 | 消费 | 11.10 | 9.61 |
| 清新环境(002573) | D | 63 | 28 | 节能环保 | 3.32 | 3.09 |
| 汉钟精机(002158) | D | 62 | 94 | 军工 | 28.50 | 25.64 |
| 浙农股份(002758) | B | 61 | 31 | - | 8.93 | 8.33 |
| 深圳华强(000062) | D | 61 | 30 | 半导体 | 24.55 | 22.87 |
| 衢州东峰(601515) | D | 60 | 14 | 消费 | 3.50 | 3.24 |
| 晶华新材(603683) | B | 60 | 84 | 化工 | 16.96 | 15.33 |
| 东威科技(688700) | B | 60 | 97 | 高端装备 | 63.74 | 56.31 |
| 滨化股份(601678) | D | 60 | 18 | 化工 | 6.66 | 6.07 |

## 🟡 条件信号（观察转强·需触发确认）

> 评级/业绩/风控均已过关，但形态尚未确认，**非次日直接买点**。
> 需等待回踩VWAP/MA20企稳或放量突破后按 AI 触发方案执行，触发前仅跟踪。

| 股票 | 评级 | 回踩买点分 | 洗盘修复分 | 主题 | 现价 | 止损 | 次日操作 |
|------|:----:|:--------:|:--------:|------|:---:|:---:|:---:|
| 伟星股份(002003) | B | 59 | 22 | - | 11.99 | 11.25 | ⚠️ 观察 |
| 金马游乐(300756) | B | 59 | 77 | 机器人 | 30.64 | 27.70 | ⚠️ 观察 |
| 泰晶科技(603738) | B | 58 | 89 | 智能驾驶 | 39.39 | 33.73 | ⚠️ 观察 |

## 🤖 AI 二次分析 (DeepSeek)

## 一、系统绿灯信号·T+1执行方案

> **组合仓位纪律**：A组合计 ≤ 40%。若多只同时触发，按优先级顺序执行：**翱捷科技 > 汉得信息 > 澜起科技 > 亚辉龙 > 凌玮科技**，前序占用仓位后，后续标的放弃当天买点，不强行满仓。

---

### 1. 翱捷科技（688220）｜核心执行（20%仓位）

| 要素 | 内容 |
|---|---|
| ①触发条件 | **情形1（高开0~2%）**：回踩VWAP 100.33元不破，且分时缩量企稳，买入20%。<br>**情形2（高开2%~5%）**：不追高，等回落至100.33~99.78（MA20）区间缩量企稳再买；若不回踩，放弃。<br>**情形3（低开）**：低开至99.78~100.33区间且分时不再创新低，买入20%；若低开>3%且放量跌破99.50，放弃。 |
| ②仓位 | 20% |
| ③止损 | 买入价-5%~-7%。按VWAP 100.33买入，止损设**95.50元**（-4.8%），盘中触及即卖。若买入价更高，止损同步上移，最大不超过-7%。 |
| ④止盈 | 第一目标**112.00元**减半仓；剩余持仓看**119.94元**，到位清仓。 |
| ⑤失效条件 | 放量跌破MA20 99.78元且不能收回；或当日未出现回踩企稳买点，计划作废，不隔日追高。 |

---

### 2. 汉得信息（300170）｜核心执行（20%仓位）

| 要素 | 内容 |
|---|---|
| ①触发条件 | **情形1（高开0~2%）**：放量站上VWAP 17.17元（分时站稳15分钟）或回踩17.00元附近缩量企稳，买入20%。<br>**情形2（高开2%~5%）**：放弃追高，等回踩17.17元不破再买。<br>**情形3（低开）**：回踩MA20 16.67~16.80元缩量企稳，买入20%；若放量跌破16.65元，放弃。 |
| ②仓位 | 20% |
| ③止损 | 买入价-5%~-7%。按17.17元买入，止损设**16.30元**；按16.75元买入，止损设**15.90元**。盘中触及即卖。 |
| ④止盈 | 第一目标**18.00元**（筹码峰顶）减半；剩余看**19.69元**。 |
| ⑤失效条件 | 放量跌破MA20 16.67元；或当日未触发买点，计划作废。 |

---

### 3. 澜起科技（688008）｜核心执行（20%仓位）

| 要素 | 内容 |
|---|---|
| ①触发条件 | **情形1（高开0~2%）**：放量突破VWAP 209.01元并站稳，买入20%。<br>**情形2（高开2%~5%）**：不追，等回踩207.94（MA20）~209.01元企稳再买。<br>**情形3（低开）**：低开后若能放量站回209.01元，可买；若续跌破200元整数关，放弃。 |
| ②仓位 | 20% |
| ③止损 | 买入价-5%~-7%。按209.01元买入，止损设**198.56元**；按207.94元买入，止损设**197.54元**。盘中触及即卖。 |
| ④止盈 | 第一目标**220.00元**减半；剩余看**240.44元**。 |
| ⑤失效条件 | 放量跌破200.00元；或3个交易日内无法突破VWAP 209.01元，作废。 |

---

### 4. 亚辉龙（688575）｜候补降级（10%仓位）

| 要素 | 内容 |
|---|---|
| ①触发条件 | **情形1（高开0~2%）**：放量突破10.30元且站稳10.10元上方，买入10%。<br>**情形2（高开>2%）**：不追高，等回踩VWAP 10.06元企稳。<br>**情形3（低开）**：回踩10.06元附近缩量企稳，买入10%；若跌破MA20 9.66元，放弃。 |
| ②仓位 | 10% |
| ③止损 | 买入价-5%~-7%。按10.06元买入，止损设**9.56元**（与筹码峰共振）；按10.30元买入，止损设**9.79元**。盘中触及即卖。 |
| ④止盈 | 第一目标**11.00元**减半；剩余看**12.06元**。 |
| ⑤失效条件 | 放量跌破9.66元；或当日无回踩/突破信号，作废。 |

---

### 5. 凌玮科技（301373）｜超限降级，只做回踩低吸（10%仓位）

| 要素 | 内容 |
|---|---|
| ①触发条件 | 任何高开情形均不追。**仅等待回踩VWAP 99.55~MA20 98.40区间**，且分时缩量企稳不再创新低，买入10%。若放量跌破98.40元，放弃。 |
| ②仓位 | 10% |
| ③止损 | 买入价-5%~-7%。按99.55元买入，止损设**94.57元**；绝对止损不超过92.00元。盘中触及即卖。 |
| ④止盈 | 第一目标**108.00元**减半；剩余看**139.55元**，移动止盈保护。 |
| ⑤失效条件 | 若股价直接放量拉升远离VWAP（>+5%）不回踩；或跌破MA20 98.40元且不能收回，计划作废。 |

---

## 二、精选池二次筛选

