# 中报猎手×EGPT 回踩择时
报告日期: 20260831 | 推送时间: 2026-08-31 19:03

> 口径：中报业绩正 + EGPT回踩择时。回测最优组合
> (白名单主题×甜区热度5~15%×扣非≥50%×突破确认) T+5胜率72%/+5.2%。

## 🎯 主题优选·确认买点（1 只）

| 股票 | 买点 | 回踩分 | 回踩日 | 净利 | 扣非 | 主题状态 | 现价 | 止损 |
|------|:---:|:---:|:---:|:---:|:---:|------|:---:|:---:|
| 弘信电子(300657) | 买点2 | 49 | 0 | +130% | +88% | 消费电子(优选) | 37.29 | 33.37 |

## ✅ 次日可买入（4 只）

| 股票 | 买点 | 回踩分 | 回踩日 | 净利 | 扣非 | 主题状态 | 现价 | 止损 |
|------|:---:|:---:|:---:|:---:|:---:|------|:---:|:---:|
| 欧科亿(688308) | 未突破 | 72 | 2 | +47734% | +1944% | 机器人(白名单) | 101.51 | 88.07 |
| 探路者(300005) | 未突破 | 63 | 1 | +155% | +191% | 消费(热度-4%) | 11.10 | 9.61 |
| 多氟多(002407) | 未突破 | 62 | 1 | +897% | +10408% | 化工(热度7%) | 36.47 | 32.23 |
| 东威科技(688700) | 买点2 | 60 | 2 | +133% | +134% | 冷门(无主题) | 63.74 | 56.31 |

## ⚠️ 观察/等回踩（形态未确认需触发）（31 只）

| 股票 | 买点 | 回踩分 | 回踩日 | 净利 | 扣非 | 主题状态 | 现价 | 止损 |
|------|:---:|:---:|:---:|:---:|:---:|------|:---:|:---:|
| 弘信电子(300657) | 买点2 | 49 | 0 | +130% | +88% | 消费电子(优选) | 37.29 | 33.37 |
| 瑞芯微(603893) | 未突破 | 66 | 0 | +62% | +63% | 半导体(白名单) | 194.59 | 176.62 |
| 博通集成(603068) | 未突破 | 65 | 0 | +163% | +343% | 半导体(白名单) | 39.31 | 34.89 |
| 全志科技(300458) | 未突破 | 64 | 0 | +204% | +238% | 半导体(白名单) | 33.91 | 30.54 |
| 德福科技(301511) | 买点2 | 61 | 0 | +581% | +1917% | 新能源车(白名单) | 97.59 | 81.82 |
| 赛意信息(300687) | 买点2 | 61 | 0 | +208% | +274% | 信创(白名单) | 30.06 | 26.47 |
| 大族激光(002008) | 未突破 | 60 | 0 | +164% | +440% | 机器人(白名单) | 96.38 | 84.70 |
| 昆仑万维(300418) | 未突破 | 53 | 0 | +227% | +47% | 游戏(白名单) | 43.99 | 39.13 |
| 复旦微电(688385) | 买点2 | 46 | 0 | +339% | +126% | 半导体(白名单) | 57.52 | 52.43 |
| 泛微网络(603039) | 未突破 | 44 | 0 | +75% | +75% | 信创(白名单) | 41.99 | 36.68 |
| 中科创达(300496) | 未突破 | 42 | 0 | +55% | +71% | 智能驾驶(白名单) | 59.49 | 55.48 |
| 宏和科技(603256) | 未突破 | 56 | 0 | +334% | +351% | 冷门(无主题) | 147.55 | 128.57 |
| 智光电气(002169) | 买点2 | 50 | 0 | +179% | +176% | 电力(热度-3%) | 13.41 | 12.42 |
| 飞南资源(301500) | 买点2 | 47 | 0 | +307% | +353% | 节能环保(无热度数据) | 25.78 | 23.08 |
| 日出东方(603366) | 买点1 | 40 | 0 | -11% | +518% | 消费(热度-4%) | 7.72 | 7.08 |
| 南极电商(002127) | 未突破 | 36 | 0 | +279% | +472% | 冷门(无主题) | 3.04 | 2.84 |
| 盘江股份(600395) | 买点1 | 34 | 0 | +1344% | +512% | 煤炭(热度13%) | 5.94 | 5.50 |
| 松发股份(603268) | 买点2 | 32 | 0 | +458% | +2935% | 军工(热度3%) | 194.23 | 179.09 |
| 金马游乐(300756) | 未突破 | 59 | 2 | +29% | +35% | 机器人(白名单) | 30.64 | 27.70 |
| 三六零(601360) | 未突破 | 56 | 1 | +177% | +152% | 信创(白名单) | 9.22 | 8.63 |
| 强瑞技术(301128) | 买点1 | 53 | 2 | +57% | +53% | 机器人(白名单) | 122.59 | 106.07 |
| 康强电子(002119) | 未突破 | 51 | 2 | +6% | +77% | 半导体(白名单) | 23.87 | 21.58 |
| 罗欣药业(002793) | 未突破 | 48 | 2 | +182% | +1220% | 创新药(白名单) | 4.84 | 4.27 |
| 力源信息(300184) | 买点2 | 44 | 2 | +209% | +229% | 半导体(白名单) | 12.43 | 11.42 |
| 天创时尚(603608) | 未突破 | 57 | 1 | +316% | +719% | 冷门(无主题) | 19.64 | 17.25 |
| 长江通信(600345) | 未突破 | 52 | 2 | +8833% | +799% | AI算力(热度1%) | 50.75 | 45.66 |
| 鹏欣资源(600490) | 买点2 | 46 | 1 | +59% | +56% | 工业金属(无热度数据) | 7.74 | 7.00 |
| 海通发展(603162) | 买点2 | 44 | 1 | +503% | +507% | 冷门(无主题) | 12.47 | 11.07 |
| 沧州大化(600230) | 买点2 | 44 | 1 | +331% | +301% | 化工(热度7%) | 15.06 | 13.85 |
| 璞源材料(603196) | 未突破 | 43 | 2 | +55% | +5827% | 冷门(无主题) | 19.62 | 18.05 |
| 上海能源(600508) | 买点1 | 36 | 1 | +38% | +34% | 煤炭(热度13%) | 11.86 | 10.60 |

---
> **买入纪律**：次日开盘承接，不追涨停/高开；止损=现价-2×ATR14；
> 未突破仅观察不追；高热度(≥15%)回避；买点窗口=回踩1-2日。
