# 中报猎手×EGPT 回踩择时
报告日期: 20260904 | 推送时间: 2026-09-04 19:04

> 口径：中报业绩正 + EGPT回踩择时。回测最优组合
> (白名单主题×甜区热度5~15%×扣非≥50%×突破确认) T+5胜率72%/+5.2%。

## ✅ 次日可买入（2 只）

| 股票 | 买点 | 回踩分 | 回踩日 | 净利 | 扣非 | 主题状态 | 现价 | 止损 |
|------|:---:|:---:|:---:|:---:|:---:|------|:---:|:---:|
| 方正电机(002196) | 未突破 | 64 | 1 | +439% | +216% | 新能源车(白名单) | 10.88 | 10.04 |
| 中兵红箭(000519) | 买点1 | 63 | 2 | +191% | +199% | 军工(热度3%) | 15.80 | 14.79 |

## ⚠️ 观察/等回踩（形态未确认需触发）（24 只）

| 股票 | 买点 | 回踩分 | 回踩日 | 净利 | 扣非 | 主题状态 | 现价 | 止损 |
|------|:---:|:---:|:---:|:---:|:---:|------|:---:|:---:|
| 领先股份(603991) | 买点1 | 46 | 0 | +896% | +875% | 半导体(白名单) | 159.60 | 145.10 |
| 我爱我家(000560) | 买点1 | 46 | 0 | +110% | +76% | 地产链(无热度数据) | 3.15 | 2.72 |
| 方正科技(600601) | 买点2 | 46 | 0 | +232% | +238% | AI算力(热度1%) | 13.09 | 11.51 |
| 张家界(000430) | 买点1 | 40 | 0 | +1027% | +41% | 冷门(无主题) | 7.65 | 7.10 |
| 粤海饲料(001313) | 未突破 | 24 | 0 | +1240% | +3304% | 冷门(无主题) | 7.71 | 7.05 |
| 海星股份(603115) | 未突破 | 43 | 1 | +57% | +71% | 消费电子(优选) | 77.68 | 65.58 |
| 视源股份(002841) | 未突破 | 39 | 2 | +282% | +246% | 消费电子(优选) | 48.85 | 44.91 |
| 沃尔德(688028) | 未突破 | 55 | 1 | +34% | +48% | 机器人(白名单) | 97.52 | 83.42 |
| 恒工精密(301261) | 未突破 | 51 | 1 | +57% | +82% | 机器人(白名单) | 56.25 | 51.12 |
| 亚康股份(301085) | 买点1 | 48 | 1 | +176% | +169% | 信创(白名单) | 67.01 | 59.17 |
| 安克创新(300866) | 买点1 | 47 | 1 | +46% | +50% | 消费电子(白名单) | 135.91 | 125.38 |
| 奥浦迈(688293) | 未突破 | 46 | 2 | +230% | +67% | 创新药(白名单) | 54.62 | 46.87 |
| 金固股份(002488) | 未突破 | 42 | 1 | +46% | +65% | 智能驾驶(白名单) | 8.21 | 7.62 |
| 诺诚健华(688428) | 买点2 | 39 | 1 | +919% | +327% | 创新药(白名单) | 31.71 | 28.34 |
| 厦钨新能(688778) | 未突破 | 33 | 1 | +47% | +68% | 新能源车(白名单) | 46.13 | 42.22 |
| 富祥股份(300497) | 未突破 | 58 | 1 | +2660% | +645% | 冷门(无主题) | 18.28 | 16.79 |
| ST嘉澳(603822) | 买点1 | 54 | 2 | +186% | +190% | 冷门(无主题) | 66.48 | 60.83 |
| 联化科技(002250) | 未突破 | 51 | 2 | +64% | +72% | 化工(热度7%) | 15.41 | 14.00 |
| 美诺华(603538) | 未突破 | 50 | 1 | +30% | +72% | 冷门(无主题) | 27.32 | 23.35 |
| 神马电力(603530) | 买点2 | 48 | 2 | +34% | +32% | 电力(热度-3%) | 49.00 | 43.15 |
| 首华燃气(300483) | 买点2 | 44 | 1 | +2132% | +2940% | 冷门(无主题) | 25.58 | 22.74 |
| 长江证券(000783) | 买点2 | 44 | 1 | +84% | +85% | 证券(热度-0%) | 9.26 | 8.61 |
| 新安股份(600596) | 未突破 | 41 | 1 | +268% | +981% | 化工(热度7%) | 11.02 | 10.17 |
| 龙蟠科技(603906) | 未突破 | 32 | 1 | +594% | +421% | 电力(热度-3%) | 18.70 | 17.01 |

---
> **买入纪律**：次日开盘承接，不追涨停/高开；止损=现价-2×ATR14；
> 未突破仅观察不追；高热度(≥15%)回避；买点窗口=回踩1-2日。
