# 中报猎手×EGPT v12 回踩择时
报告日期: 20260914 | 推送时间: 2026-09-14 19:05

> 口径：中报业绩正 + EGPT回踩择时。回测最优组合
> (白名单主题×甜区热度5~15%×扣非≥50%×突破确认) T+5胜率72%/+5.2%。

> 🏆 v12合并策略(回踩中×热度甜区/无×涨幅<5%×缩量比<1.0×扣非≥50)：
> 复盘60笔/38只, T+5 +0.94% / 持有+1.66% / 止损+1.30%。

## 🏆 v12合并策略·今日名单（1 只）

| 股票 | 买点 | 回踩分 | 回踩日 | 净利 | 扣非 | 主题状态 | 现价 | 止损 |
|------|:---:|:---:|:---:|:---:|:---:|------|:---:|:---:|
| 鑫科材料(600255) | 买点1 | 55 | 1 | +116% | +171% | 战略与小金属(无热度数据) | 3.84 | 3.50 |

## ⚠️ 观察/等回踩（形态未确认需触发）（24 只）

| 股票 | 买点 | 回踩分 | 回踩日 | 净利 | 扣非 | 主题状态 | 现价 | 止损 |
|------|:---:|:---:|:---:|:---:|:---:|------|:---:|:---:|
| 欧莱新材(688530) | 未突破 | 65 | 0 | +1098% | +742% | 半导体(白名单) | 62.31 | 53.70 |
| 涛涛车业(301345) | 未突破 | 50 | 0 | +58% | +58% | 智能驾驶(白名单) | 235.50 | 216.13 |
| 商络电子(300975) | 未突破 | 46 | 0 | +493% | +501% | 消费电子(白名单) | 25.90 | 23.10 |
| 贤丰控股(002141) | 买点2 | 46 | 0 | -22% | +471% | 消费电子(白名单) | 6.97 | 5.93 |
| 木林森(002745) | 买点2 | 45 | 0 | +331% | +181% | 半导体(白名单) | 11.92 | 10.83 |
| 金域医学(603882) | 未突破 | 43 | 0 | +324% | +307% | 创新药(白名单) | 27.48 | 25.80 |
| 瑞凌股份(300154) | 买点2 | 42 | 0 | -19% | +36% | 机器人(白名单) | 13.74 | 11.99 |
| 德方纳米(300769) | 未突破 | 31 | 0 | +217% | +206% | 新能源车(白名单) | 41.09 | 37.92 |
| 三生国健(688336) | 未突破 | 29 | 0 | +95% | +65% | 创新药(白名单) | 39.99 | 37.13 |
| 康希通信(688653) | 未突破 | 27 | 0 | +211% | +142% | 半导体(白名单) | 13.41 | 12.30 |
| 多浦乐(301528) | 买点1 | 65 | 0 | +12% | +55% | 冷门(无主题) | 73.00 | 66.70 |
| 宏昌电子(603002) | 买点2 | 53 | 0 | +141% | +257% | 冷门(无主题) | 18.81 | 16.30 |
| ST万邦(002082) | 买点2 | 46 | 0 | +370% | +358% | 冷门(无主题) | 9.76 | 8.91 |
| 东富龙(300171) | 未突破 | 40 | 0 | +134% | +271% | 医疗器械(无热度数据) | 13.89 | 12.64 |
| 科源制药(301281) | 买点2 | 40 | 0 | +52% | +56% | 脑机接口(无热度数据) | 48.82 | 43.47 |
| 中熔电气(301031) | 未突破 | 22 | 0 | +82% | +77% | AI算力(热度-5%) | 92.65 | 83.82 |
| 峰岹科技(688279) | 未突破 | 50 | 1 | +71% | +78% | 半导体(白名单) | 182.50 | 160.14 |
| 三环集团(300408) | 买点2 | 42 | 1 | +56% | +70% | 消费电子(白名单) | 125.83 | 112.56 |
| 恒星科技(002132) | 未突破 | 38 | 2 | +293% | +1791% | 机器人(白名单) | 4.26 | 3.92 |
| 国际复材(301526) | 买点2 | 55 | 2 | +177% | +169% | 冷门(无主题) | 30.85 | 26.70 |
| 鑫科材料(600255) | 买点1 | 55 | 1 | +116% | +171% | 战略与小金属(无热度数据) | 3.84 | 3.50 |
| 麦捷科技(300319) | 买点2 | 52 | 1 | +1% | +36% | 军工(热度2%) | 21.36 | 18.56 |
| 水发燃气(603318) | 买点1 | 52 | 2 | +166% | +380% | 冷门(无主题) | 10.16 | 8.85 |
| 天海防务(300008) | 买点1 | 37 | 2 | +45% | +44% | 军工(热度2%) | 6.44 | 6.03 |

---
> **买入纪律**：次日开盘承接，不追涨停/高开；止损=现价-2×ATR14；
> 未突破仅观察不追；高热度(≥15%)回避；买点窗口=回踩1-2日。
