### EXPERIMENTS
=== L1_分歧定义候选  (28 rows)
               def              param     N  t3_med  t3_mean  t3_win  t3_pf   t3_ex  t3_exT   t3_cT  t5_med  t5_mean  t5_win  t5_pf   t5_ex  t5_exT   t5_cT  t10_med  t10_mean  t10_win  t10_pf  t10_ex  t10_exT  t10_cT
     D1a_收盘回撤<=-1%      D1a_收盘回撤<=-1% 31003  -0.255    1.431    48.9  1.497  -0.113     NaN  -53.87  -0.847    0.988    46.2  1.274  -0.074     NaN  -48.59   -1.434     0.953     44.5   1.204  -0.083      NaN  -17.21
     D1a_收盘回撤<=-2%      D1a_收盘回撤<=-2% 30932  -0.255    1.414    48.8  1.490  -0.113     NaN  -31.51  -0.866    0.954    46.1  1.264  -0.094     NaN  -30.45   -1.457     0.919     44.4   1.197  -0.106      NaN  -16.41
     D1a_收盘回撤<=-3%      D1a_收盘回撤<=-3% 30464  -0.323    1.351    48.3  1.461  -0.182     NaN  -23.11  -1.020    0.826    45.4  1.225  -0.247     NaN  -23.73   -1.623     0.787     43.8   1.166  -0.272      NaN  -16.68
     D1a_收盘回撤<=-5%      D1a_收盘回撤<=-5% 27484  -0.821    1.085    45.9  1.341  -0.679     NaN  -27.16  -1.771    0.207    42.0  1.052  -0.999     NaN  -34.21   -2.323     0.130     41.1   1.025  -0.972      NaN  -26.23
     D1a_收盘回撤<=-8%      D1a_收盘回撤<=-8% 20011  -1.797    0.576    41.9  1.149  -1.656     NaN  -25.98  -3.422   -1.232    35.5  0.754  -2.650     NaN  -47.96   -3.821    -1.333     36.2   0.780  -2.470      NaN  -36.89
     D1b_盘中回撤<=-1%      D1b_盘中回撤<=-1% 31206  -0.148    1.633    49.3  1.570  -0.007     NaN  -13.43  -0.784    1.369    46.6  1.382  -0.012     NaN  -11.53   -1.359     1.326     44.8   1.286  -0.008      NaN   -6.43
     D1b_盘中回撤<=-2%      D1b_盘中回撤<=-2% 31197  -0.151    1.626    49.2  1.568  -0.009     NaN  -16.14  -0.786    1.358    46.6  1.379  -0.013     NaN  -13.52   -1.363     1.320     44.8   1.285  -0.012      NaN   -6.20
     D1b_盘中回撤<=-3%      D1b_盘中回撤<=-3% 31191  -0.151    1.624    49.2  1.567  -0.010     NaN  -12.50  -0.787    1.354    46.6  1.377  -0.015     NaN  -11.10   -1.368     1.318     44.8   1.284  -0.017      NaN   -5.89
     D1b_盘中回撤<=-5%      D1b_盘中回撤<=-5% 30715  -0.205    1.621    49.1  1.559  -0.063     NaN   -5.12  -0.861    1.324    46.3  1.364  -0.089     NaN   -6.63   -1.436     1.284     44.6   1.274  -0.085      NaN   -5.22
     D1b_盘中回撤<=-8%      D1b_盘中回撤<=-8% 26259  -0.371    1.739    48.4  1.549  -0.229     NaN    4.11  -1.362    1.262    44.8  1.314  -0.589     NaN   -6.32   -1.929     1.144     43.3   1.225  -0.578      NaN   -7.04
       D2_收盘位置<0.2        D2_收盘位置<0.2 24642  -1.256    0.256    43.1  1.076  -1.114     NaN  -41.58  -2.237   -0.982    38.9  0.771  -1.465     NaN  -50.39   -2.771    -0.930     38.9   0.826  -1.420      NaN  -35.77
       D2_收盘位置<0.4        D2_收盘位置<0.4 29759  -0.515    0.996    47.3  1.334  -0.374     NaN  -36.22  -1.217    0.265    44.3  1.071  -0.445     NaN  -38.04   -1.834     0.270     42.9   1.056  -0.483      NaN  -25.58
       D2_收盘位置<0.6        D2_收盘位置<0.6 30819  -0.255    1.313    48.7  1.453  -0.113     NaN  -39.53  -0.904    0.795    45.9  1.219  -0.132     NaN  -37.57   -1.504     0.762     44.2   1.162  -0.153      NaN  -19.83
       D2_收盘位置<0.8        D2_收盘位置<0.8 30989  -0.255    1.414    48.9  1.491  -0.113     NaN  -53.45  -0.850    0.962    46.2  1.266  -0.078     NaN  -47.23   -1.436     0.926     44.4   1.198  -0.086      NaN  -17.93
D2b_回撤2%且收盘位置>=0.6 D2b_回撤2%且收盘位置>=0.6  3545   4.215    6.817    71.2  6.399   4.356     NaN   27.23   3.258    6.427    63.8  4.191   4.031     NaN   21.72    2.654     6.655     58.9   3.118   4.004      NaN   16.46
D2b_回撤3%且收盘位置>=0.6 D2b_回撤3%且收盘位置>=0.6  2047   4.511    7.770    71.7  6.818   4.653     NaN   21.42   3.349    7.092    63.6  4.182   4.121     NaN   16.48    2.174     6.948     57.6   3.046   3.525      NaN   11.38
D2b_回撤2%且收盘位置>=0.8 D2b_回撤2%且收盘位置>=0.8   254   3.938    7.801    64.2  5.481   4.079     NaN    6.39   1.210    6.918    55.3  3.332   1.983     NaN    4.64    0.586     7.179     51.2   2.736   1.937      NaN    3.97
D2b_回撤3%且收盘位置>=0.8 D2b_回撤3%且收盘位置>=0.8   125   2.775    7.051    64.0  5.603   2.917     NaN    4.06   1.334    4.947    54.4  2.708   2.106     NaN    2.29    0.904     5.162     51.6   2.250   2.255      NaN    1.89
   D3_回撤2%且VR<=1.0    D3_回撤2%且VR<=1.0   638   0.082    0.352    51.8  1.152   0.224     NaN   -4.43   0.656    0.191    54.8  1.064   1.428     NaN   -3.59    0.642     0.767     52.0   1.192   1.993      NaN   -1.45
   D3_回撤2%且VR<=1.2    D3_回撤2%且VR<=1.2  1400   0.141    0.540    52.3  1.241   0.283     NaN   -5.77   0.399    0.354    52.5  1.121   1.171     NaN   -4.67    0.647     1.090     52.0   1.273   1.998      NaN   -1.09
   D3_回撤3%且VR<=1.0    D3_回撤3%且VR<=1.0  1099  -0.043    0.172    49.6  1.084   0.098     NaN   -7.69   0.004   -0.152    50.1  0.943   0.777     NaN   -6.93    0.265     0.561     50.6   1.150   1.616      NaN   -2.66
   D3_回撤3%且VR<=1.2    D3_回撤3%且VR<=1.2  2160   0.130    0.545    51.7  1.273   0.272     NaN   -7.73   0.010    0.143    50.2  1.054   0.782     NaN   -7.58    0.413     1.068     51.4   1.286   1.764      NaN   -1.49
  D4a_低点/首板收盘<=-3%   D4a_低点/首板收盘<=-3% 21072  -3.070   -2.753    27.7  0.347  -2.928     NaN -108.61  -4.045   -3.506    25.5  0.333  -3.273     NaN  -94.91   -4.667    -3.377     29.8   0.468  -3.316      NaN  -65.13
  D4b_低点/首板前收<=-3%   D4b_低点/首板前收<=-3%  3064 -10.492  -10.900     2.3  0.006 -10.351     NaN -115.07 -13.062  -13.530     2.3  0.008 -12.289     NaN -123.66  -13.084   -12.463      8.5   0.059 -11.733      NaN  -72.33
  D4a_低点/首板收盘<=-5%   D4a_低点/首板收盘<=-5% 15871  -4.572   -4.435    17.8  0.169  -4.430     NaN -121.38  -5.789   -5.484    16.7  0.170  -5.017     NaN -110.17   -6.416    -5.334     23.1   0.295  -5.065      NaN  -76.08
  D4b_低点/首板前收<=-5%   D4b_低点/首板前收<=-5%  2040 -11.851  -12.200     1.8  0.003 -11.710     NaN -103.92 -14.748  -15.221     1.5  0.006 -13.975     NaN -116.30  -14.587   -14.041      6.7   0.042 -13.236      NaN  -66.74
  D4a_低点/首板收盘<=-8%   D4a_低点/首板收盘<=-8%  9168  -6.942   -6.987     9.5  0.062  -6.800     NaN -128.44  -8.796   -8.661     8.5  0.063  -8.024     NaN -123.99   -9.377    -8.316     15.9   0.157  -8.026      NaN  -82.16
  D4b_低点/首板前收<=-8%   D4b_低点/首板前收<=-8%  1020 -14.089  -14.227     0.9  0.001 -13.947     NaN  -84.45 -17.639  -18.037     0.8  0.001 -16.867     NaN -104.94  -17.575   -17.133      4.0   0.019 -16.224      NaN  -61.19

=== L2_卖压衰减曲线  (112 rows)
             def    param     N  t3_med  t3_mean  t3_win  t3_pf  t3_ex  t3_exT  t3_cT  t5_med  t5_mean  t5_win  t5_pf  t5_ex  t5_exT  t5_cT  t10_med  t10_mean  t10_win  t10_pf  t10_ex  t10_exT  t10_cT
     V1_vr20_kd2 -inf~0.6   148  -2.478    4.586    35.1  2.253 -2.336     NaN   2.08  -1.116    7.969    46.6  2.898 -0.343     NaN   3.25    1.846     9.139     52.4   2.985   3.196      NaN    3.28
     V1_vr20_kd2  0.6~0.7   184  -2.861   -0.625    28.8  0.818 -2.720     NaN  -3.15  -3.114   -0.338    37.5  0.923 -2.341     NaN  -1.72   -3.378     0.119     40.8   1.021  -2.027      NaN   -1.07
     V1_vr20_kd2  0.7~0.8   347  -3.513   -2.665    23.3  0.389 -3.371     NaN  -8.13  -3.645   -2.373    33.8  0.530 -2.873     NaN  -6.19   -2.470    -1.267     39.6   0.782  -1.119      NaN   -2.97
     V1_vr20_kd2  0.8~0.9   591  -3.024   -2.790    27.6  0.325 -2.882     NaN -15.55  -3.462   -2.816    30.8  0.424 -2.690     NaN -10.99   -3.455    -2.591     37.2   0.574  -2.104      NaN   -8.06
     V1_vr20_kd2  0.9~1.0   877  -2.852   -2.132    28.6  0.439 -2.711     NaN -14.00  -2.722   -1.896    33.7  0.581 -1.949     NaN  -9.07   -3.206    -1.870     37.1   0.671  -1.856      NaN   -7.48
     V1_vr20_kd2  1.0~1.1  1114  -2.847   -2.522    31.2  0.376 -2.705     NaN -19.42  -3.206   -2.547    32.6  0.469 -2.434     NaN -13.90   -3.544    -2.074     37.6   0.650  -2.193      NaN   -8.93
     V1_vr20_kd2  1.1~inf 27907   0.306    2.056    51.6  1.752  0.447     NaN  20.59  -0.457    1.728    48.1  1.500  0.315     NaN  10.97   -1.154     1.639     45.5   1.364   0.197      NaN    4.78
