================================================================================
严苛版中线买点 回测报告（评分≥85分 + 6项过滤 + 回踩入场）
回测时间: 2026-06-27 21:44
入场方式: 信号后等待回踩MA10/MA20确认
过滤条件: 评分≥85 + 6项(量比0.5~2.5+趋势连续+MACD零轴张口+RSI60~85)
================================================================================

总计扫描: 58 只股票
累计交易日: 6958 天
严苛信号数: 91 个

────────────────────────────────────────────────────────────────────────────────
一、各股票评分统计
--------------------------------------------------------------------------------
代码                     评分范围     均值   S级     严苛信号
--------------------------------------------------------------------------------
603629.SH             67~67   67.0    1        1
002297.SZ             63~71   66.7    3        3
300390.SZ             55~71   63.0    2        2
300395.SZ             49~60   54.5    2        2
301526.SZ             54~54   54.0    1        1
920493.BJ             59~59   59.0    1        1
688308.SH             57~57   57.0    1        1
688796.SH             48~48   48.0    1        1
688603.SH             56~58   57.0    2        2
002384.SZ             63~66   64.5    2        2
002545.SZ             57~57   57.0    1        1
688700.SH             52~52   52.0    1        1
688008.SH             52~59   55.5    2        2
002256.SZ             48~48   48.0    1        1
000657.SZ             51~51   51.0    1        1
300806.SZ             62~62   62.0    1        1
600186.SH             56~56   56.0    1        1
002354.SZ             61~61   61.0    1        1
600487.SH             55~61   58.7    3        3
002192.SZ             53~65   59.0    3        3
301099.SZ             51~51   51.0    1        1
002281.SZ             51~51   51.0    1        1
002202.SZ             53~53   53.0    1        1
300489.SZ             63~63   63.0    1        1
002979.SZ             57~57   57.0    1        1
601869.SH             54~66   60.0    2        2
600961.SH             47~59   54.6    5        5
688205.SH             61~61   61.0    2        2
300715.SZ             61~61   61.0    2        2
688362.SH             71~71   71.0    1        1
300672.SZ             49~59   54.0    2        2
000066.SZ             65~65   65.0    1        1
605060.SH             60~60   60.0    1        1
000815.SZ             57~57   57.0    1        1
688400.SH             65~65   65.0    1        1
301323.SZ             51~65   58.0    2        2
300814.SZ             52~52   52.0    1        1
301055.SZ             62~62   62.0    1        1
002851.SZ             50~52   51.0    4        4
600578.SH             56~68   62.0    2        2
688598.SH             56~65   60.5    2        2
600460.SH             50~50   50.0    1        1
688170.SH             79~79   79.0    1        1
300488.SZ             50~54   51.7    3        3
688001.SH             57~73   63.5    4        4
000593.SZ             62~62   62.0    1        1
300769.SZ             75~75   75.0    1        1
688387.SH             47~47   47.0    1        1
002409.SZ             65~65   65.0    2        2
600345.SH             69~69   69.0    1        1
000070.SZ             63~69   66.0    2        2
002805.SZ             56~56   56.0    1        1
688126.SH             52~52   52.0    1        1
601958.SH             62~62   62.0    1        1
688331.SH             54~61   57.5    2        2
603888.SH             67~67   67.0    1        1
000767.SZ             61~61   61.0    1        1
300593.SZ             51~51   51.0    1        1

────────────────────────────────────────────────────────────────────────────────
二、严苛信号汇总
--------------------------------------------------------------------------------
代码             信号日          入场日             评分     信号涨幅     次日开仓      +1日      +5日     +10日     +20日
--------------------------------------------------------------------------------------------------------------
603629.SH      20260416     20260417        67   +8.98%    96.61   +11.04%   +13.26%   +64.42%   +87.80%
002297.SZ      20260416     20260417        63   +9.99%    17.01   +14.40%   +31.10%   +41.15%   +38.51%
002297.SZ      20260417     20260420        71  +10.01%    18.73    +1.39%    +9.61%   +32.14%   +31.93%
002297.SZ      20260623     20260624        66   +5.19%    31.70    +4.45%    -2.56%    -2.56%    -2.56%
300390.SZ      20260410     20260413        55  +10.16%    69.36   +16.85%   +24.87%   +35.86%   +39.16%
300390.SZ      20260413     20260414        71  +17.42%    76.63    +0.39%   +11.98%   +21.35%   +22.21%
300395.SZ      20260226     20260227        49   +5.21%   127.43    +1.62%   -13.45%   -10.62%   -26.08%
300395.SZ      20260316     20260317        60   +4.17%   124.50   -12.21%   -23.73%   -26.59%   -14.14%
301526.SZ      20260423     20260424        54   +7.15%    14.59    +5.76%   +30.02%   +39.27%   +47.91%
920493.BJ      20260212     20260213        59  +14.07%   183.13    -7.83%    -9.79%    -2.89%   -19.89%
688308.SH      20260512     20260513        57   +9.78%   104.34    +3.80%    +6.19%   +39.16%   +33.24%
688796.SH      20260402     20260403        48   +4.55%   103.88    +7.05%    -4.12%    -5.76%    -5.59%
688603.SH      20260428     20260429        56   +5.52%    97.00    -3.90%   +24.93%   +48.25%   +64.84%
688603.SH      20260506     20260507        58   +6.52%   100.00    +0.98%   +48.00%   +42.35%   +71.68%
002384.SZ      20260409     20260410        63  +10.00%   132.30   +10.98%   +22.52%   +42.03%   +66.86%
002384.SZ      20260410     20260413        66   +8.83%   143.61    +1.66%    +9.32%   +30.00%   +49.63%
002545.SZ      20260302     20260303        57   +9.99%    30.26    -5.55%   -12.95%   -21.58%   -27.73%
688700.SH      20260407     20260408        52   +8.68%    57.97    +1.50%    +0.28%   +12.13%   +13.16%
688008.SH      20260506     20260507        59  +14.82%   201.99    +4.10%   +31.23%   +29.79%   +28.56%
688008.SH      20260617     20260618        52   +7.51%   260.00    +7.71%    +0.70%    +0.70%    +0.70%
002256.SZ      20260511     20260512        48   +4.55%     5.49    -4.92%    -9.84%   -19.49%   -27.69%
000657.SZ      20260611     20260612        51   +6.93%    80.31    +8.21%   +34.89%   +23.91%   +23.91%
300806.SZ      20260420     20260421        62   +4.76%    67.90    +2.36%    +6.05%   +25.18%   +31.94%
600186.SH      20260609     20260610        56  +10.01%    11.15   +13.27%   +31.48%   +39.91%   +28.25%
002354.SZ      20260610     20260611        61  +10.05%     8.75   -14.06%   -11.66%    +0.91%    +0.91%
600487.SH      20260420     20260421        55   +9.42%    59.50   +10.55%   +14.77%   +29.87%   +22.77%
600487.SH      20260529     20260601        60   +9.42%    75.24   +10.47%   +26.89%   +31.95%   +47.28%
600487.SH      20260604     20260605        61   +7.04%    96.00    -0.55%    +1.04%   +25.14%   +15.43%
002192.SZ      20260327     20260330        53  +10.00%    83.35    -8.48%   -14.48%    -4.62%    +8.29%
002192.SZ      20260330     20260331        59   +5.10%    82.24   -14.12%   -12.84%    -8.46%   +20.73%
002192.SZ      20260413     20260414        65   +7.04%    77.54    -2.91%    +4.04%   +16.40%   +18.21%
301099.SZ      20260617     20260618        51   +4.50%    91.78    +0.24%    -0.04%    -0.04%    -0.04%
002281.SZ      20260403     20260407        51   +7.74%    92.00    +6.80%   +21.09%   +32.38%   +96.43%
002202.SZ      20260225     20260226        53   +4.52%    27.00    +5.37%    +3.70%   +15.89%    +4.19%
300489.SZ      20260410     20260413        63  +10.37%    67.67    -0.75%   +12.31%   +45.71%   +83.06%
002979.SZ      20260617     20260618        57   +5.68%    55.77    -4.20%    -7.39%    -7.39%    -7.39%
601869.SH      20260325     20260326        66  +10.00%   258.44    +6.12%   +28.65%   +48.73%   +42.45%
601869.SH      20260623     20260624        54  +10.00%   558.20    +3.01%    -2.72%    -2.72%    -2.72%
600961.SH      20260225     20260226        56   +5.18%    22.62    +5.44%    -0.04%    -6.32%   -26.75%
600961.SH      20260227     20260302        59   +7.63%    24.96    -6.21%   -11.34%   -22.76%   -30.21%
600961.SH      20260302     20260303        55   +9.06%    25.00    -7.28%   -10.84%   -22.68%   -30.44%
600961.SH      20260623     20260624        47   +4.42%    32.45    +7.86%    +5.67%    +5.67%    +5.67%
600961.SH      20260624     20260625        56   +7.89%    34.25    +0.12%    +0.12%    +0.12%    +0.12%
688205.SH      20260302     20260303        61  +13.28%   192.00    -6.30%    -5.73%   -15.65%    -4.17%
