================================================================================
严苛版中线买点 回测报告（评分≥85分 + 6项过滤 + 回踩入场）
回测时间: 2026-06-27 22:20
入场方式: 信号后等待回踩MA10/MA20确认
过滤条件: 评分≥85 + 6项(量比0.5~2.5+趋势连续+MACD零轴张口+RSI60~85)
================================================================================

总计扫描: 191 只股票
累计交易日: 22906 天
严苛信号数: 635 个

────────────────────────────────────────────────────────────────────────────────
一、各股票评分统计
--------------------------------------------------------------------------------
代码                     评分范围     均值   S级     严苛信号
--------------------------------------------------------------------------------
688002.SH              6~10    8.3    3        3
603629.SH              7~12    9.7    3        3
300054.SZ              6~21   10.4    5        5
002297.SZ              5~19   10.2    8        8
300390.SZ              9~19   13.5    4        4
600601.SH              6~12    8.0    3        3
603826.SH              8~11    9.7    3        3
688629.SH              9~16   12.2    4        4
300395.SZ              6~13    8.8    4        4
300497.SZ              6~13    9.4    7        7
001389.SZ              5~10    7.4    5        5
301526.SZ              9~18   13.5    2        2
002439.SZ               7~7    7.0    1        1
920493.BJ             10~18   12.5    4        4
688308.SH              7~23   14.5    4        4
688796.SH              6~14    9.5    6        6
688603.SH              7~22   12.3    6        6
000792.SZ              8~10    8.7    3        3
002326.SZ             12~12   12.0    1        1
688787.SH              9~16   13.0    3        3
002812.SZ              6~12    8.3    3        3
300184.SZ              7~10    8.3    3        3
603699.SH               7~8    7.5    2        2
002386.SZ              6~12    9.0    2        2
002384.SZ              5~12    9.7    3        3
002545.SZ              8~12   10.0    2        2
688700.SH             10~10   10.0    1        1
600160.SH              7~11    9.7    3        3
300738.SZ              7~14   10.8    4        4
300842.SZ               6~9    7.3    3        3
600770.SH              8~13   11.2    4        4
002028.SZ               9~9    9.0    1        1
688008.SH              8~17   11.0    4        4
002256.SZ              7~12    9.6    5        5
001339.SZ              6~12    9.6    5        5
000657.SZ              7~12    9.0    5        5
688378.SH             10~22   14.8    4        4
300806.SZ              6~22   10.1    8        8
600186.SH              7~12    8.7    3        3
300548.SZ              7~22   11.8    6        6
002354.SZ              6~13   10.4    5        5
600487.SH              8~12   10.3    3        3
688017.SH             11~22   16.5    2        2
688108.SH             10~10   10.0    1        1
002192.SZ              7~12    9.6    5        5
688428.SH               6~9    7.6    5        5
300861.SZ              6~10    8.0    3        3
301099.SZ              6~14    9.5    4        4
000685.SZ               9~9    9.0    1        1
